Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Kim Seunggyu,Corea del Sud,POR,37,22,0,0,0.0,0,62,4,0.0,56,5.2,82,58
Song Bumkeun,Corea del Sud,POR,26,18,0,0,0.0,0,64,3,0.0,55,5.1,81,44
Jo Hyeonwoo,Corea del Sud,POR,34,16,0,0,0.0,0,63,3,0.0,54,5.0,80,38
Kim Moohwan,Corea del Sud,DIF,31,28,1,4,0.8,7,80,18,1.2,63,10.4,83,0
Kim Minjae,Corea del Sud,DIF,28,37,1,1,0.7,6,76,14,0.9,74,9.6,87,0
Kim Taehyeon,Corea del Sud,DIF,25,22,0,1,0.4,4,74,12,0.7,68,9.5,83,0
Park Jinseob,Corea del Sud,DIF,24,20,1,2,0.7,6,76,14,0.8,64,10.0,82,0
Seol Youngwoo,Corea del Sud,DIF,25,28,2,5,1.2,10,82,20,1.4,65,10.6,84,0
Jens Castrop,Corea del Sud,DIF,25,24,1,3,0.8,7,78,16,1.0,64,10.2,83,0
Lee Kihyuk,Corea del Sud,DIF,24,20,0,2,0.5,5,80,14,0.9,62,10.2,82,0
Lee Taeseok,Corea del Sud,DIF,26,28,1,4,0.9,8,80,18,1.2,64,10.4,83,0
Lee Hanbeom,Corea del Sud,DIF,25,22,1,1,0.6,6,74,12,0.7,66,9.6,83,0
Cho Yumin,Corea del Sud,DIF,26,30,2,1,0.9,7,74,14,0.8,71,9.6,85,0
Kim Jingyu,Corea del Sud,CEN,30,28,3,5,2.4,18,74,44,3.4,64,10.4,83,0
Bae Junho,Corea del Sud,CEN,23,28,4,5,3.2,22,78,42,3.4,62,10.6,83,0
Paik Seungho,Corea del Sud,CEN,27,28,4,6,3.2,24,76,44,3.6,65,10.6,85,0
Yang Hyunjun,Corea del Sud,ALA,24,32,12,8,9.4,58,90,44,6.2,58,10.8,83,0
Eom Jisung,Corea del Sud,CEN,26,26,3,5,2.4,20,76,40,3.2,62,10.4,82,0
Lee Kangin,Corea del Sud,CEN,24,38,4,5,3.4,28,84,52,5.0,63,10.8,86,0
Lee Doonggyeong,Corea del Sud,CEN,29,22,2,3,1.6,14,74,36,2.8,62,10.2,82,0
Lee Jaesung,Corea del Sud,CEN,33,28,4,7,3.2,24,74,44,3.6,64,10.4,84,0
Hwang Inbeom,Corea del Sud,CEN,29,24,2,3,1.8,14,76,44,3.4,66,10.6,85,0
Hwang Heechan,Corea del Sud,ALA,29,28,8,5,6.4,44,86,40,5.8,58,10.6,81,0
Son Heungmin,Corea del Sud,ATT,34,26,2,15,4.2,38,88,58,7.2,60,10.4,83,0
Oh Hyeongyu,Corea del Sud,ATT,24,28,14,4,11.2,66,82,28,3.6,54,9.8,79,0
Cho Guesung,Corea del Sud,ATT,26,24,10,3,8.2,52,80,24,3.2,53,9.6,78,0
