Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Rangel,Messico,Portiere,28,24,0,0,0.1,2,73,1,1,13,9.7,67,58
Ochoa,Messico,Portiere,40,20,0,0,0.1,1,70,1,1,10,9.4,64,52
Acevedo,Messico,Portiere,30,28,0,0,0.1,2,71,1,1,12,9.6,66,61
Reyes,Messico,Difensore,26,28,1,2,0.3,11,79,1.1,1.3,29,10.3,80,
Gallardo,Messico,Difensore,30,26,1,3,0.3,14,83,1.8,2.1,38,11.1,82,
Sanchez,Messico,Difensore,27,27,1,2,0.2,13,81,1.3,1.7,34,10.8,79,
Montes,Messico,Difensore,28,24,2,1,0.4,16,78,1.0,1.1,42,10.5,78,
Vasquez,Messico,Difensore,27,29,2,2,0.4,17,80,1.1,1.4,41,10.7,81,
M. Chavez,Messico,Difensore,24,26,1,2,0.2,10,84,1.5,2.0,31,11.0,83,
Lira,Messico,Centrocampista,26,30,2,3,0.4,22,77,2.1,2.5,48,10.6,81,
Romo,Messico,Centrocampista,29,29,3,4,0.5,26,76,2.4,2.0,44,10.4,82,
Vargas,Messico,Centrocampista,20,22,1,2,0.3,14,82,2.6,3.0,35,11.0,83,
Gutierrez,Messico,Centrocampista,22,27,2,4,0.4,19,80,2.9,3.2,38,11.0,82,
Pineda,Messico,Centrocampista,30,26,4,1,0.6,26,82,2.8,3.8,46,11.2,79,
Alvarez,Messico,Centrocampista,28,29,1,2,0.5,14,81,2.2,1.8,64,11.4,85,
Mora,Messico,Centrocampista,17,18,1,2,0.2,11,87,2.5,3.5,30,11.3,80,
Huerta,Messico,Centrocampista,26,30,5,7,0.8,44,85,3.3,4.2,43,11.4,78,
Fidalgo,Messico,Centrocampista,29,32,4,8,0.7,40,80,3.5,3.0,45,11.1,83,
L. Chavez,Messico,Centrocampista,29,27,3,5,0.6,38,79,2.9,2.4,40,10.9,77,
Alvarado,Messico,Attaccante,27,31,8,9,1.1,62,87,3.6,4.8,52,11.7,77,
Vega,Messico,Attaccante,28,30,10,8,1.3,74,86,3.4,5.0,49,11.6,76,
Quinones,Messico,Attaccante,29,31,33,4,2.1,136,92,2.8,5.6,47,12.0,78,
Gimenez,Messico,Attaccante,25,16,2,2,0.6,27,84,1.9,2.4,22,11.2,81,
Martinez,Messico,Attaccante,28,25,7,4,0.9,52,83,2.2,3.5,40,11.2,76,
Gonzalez,Messico,Attaccante,24,22,5,3,0.7,38,85,2.0,3.8,34,11.4,75,
Jimenez,Messico,Attaccante,35,34,9,3,1.2,43,82,2.1,1.8,38,10.9,66,
