Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Jindrich Stanek,Cechia,POR,28,34,0,0,0.0,0,66,4,0.0,58,5.2,84,74
Matej Kovar,Cechia,POR,25,28,0,0,0.0,0,67,4,0.0,60,5.3,86,68
Lukas Hornicek,Cechia,POR,26,18,0,0,0.0,0,64,3,0.0,55,5.1,82,42
Vladimir Coufal,Cechia,DIF,33,28,1,5,1.0,9,78,22,1.6,64,10.6,85,0
Jan Doudera,Cechia,DIF,26,24,1,3,0.8,7,76,16,1.0,63,10.2,83,0
Tomas Holes,Cechia,DIF,30,30,2,2,1.0,8,74,14,0.9,71,9.6,86,0
Robin Hranac,Cechia,DIF,24,28,2,1,0.9,7,74,14,0.9,70,9.6,85,0
Ondrej Chaloupek,Cechia,DIF,24,22,0,2,0.5,5,74,12,0.7,64,9.8,83,0
Michal Jurasek,Cechia,DIF,24,26,1,4,0.8,8,80,18,1.2,63,10.4,84,0
Ladislav Krejci,Cechia,DIF,26,30,2,3,1.0,9,76,16,1.0,70,9.8,87,0
Jaroslav Zeleny,Cechia,DIF,28,26,1,4,0.8,8,76,16,1.0,64,10.2,84,0
David Zima,Cechia,DIF,25,24,1,1,0.7,6,74,12,0.8,68,9.6,84,0
Tomas Soucek,Cechia,CEN,30,30,6,3,4.2,32,76,48,3.8,68,10.6,86,0
Jan Bucha,Cechia,CEN,26,24,3,4,2.4,18,76,40,3.2,62,10.4,83,0
Lukas Cerv,Cechia,CEN,26,28,4,5,3.2,24,80,46,3.8,64,10.8,85,0
Vladimir Darida,Cechia,CEN,35,22,2,3,1.6,12,72,38,2.8,62,10.0,84,0
David Ladra,Cechia,ALA,22,22,4,4,3.2,22,84,34,4.8,57,10.6,82,0
Lukas Provod,Cechia,CEN,28,28,3,5,2.4,20,78,44,3.6,63,10.6,84,0
Petr Sadilek,Cechia,CEN,27,26,3,4,2.4,18,76,42,3.2,63,10.4,84,0
Martin Sochurek,Cechia,CEN,24,20,2,3,1.8,14,78,36,2.8,60,10.4,82,0
Jan Sojka,Cechia,CEN,26,24,3,4,2.4,18,78,40,3.2,61,10.4,83,0
Pavel Sulc,Cechia,ALA,25,28,6,5,4.8,34,84,44,6.0,59,10.8,83,0
Vaclav Visinsky,Cechia,CEN,22,20,2,3,1.6,12,78,34,2.8,58,10.2,82,0
Adam Hlozek,Cechia,ALA,23,30,8,6,6.4,44,86,42,6.2,58,10.6,83,0
Tomas Chory,Cechia,ATT,28,28,10,4,8.0,52,76,26,3.4,54,9.4,79,0
Mojmir Chytil,Cechia,ATT,25,26,8,4,6.4,44,78,24,3.2,53,9.4,78,0
Christophe Kabongo,Cechia,ATT,22,20,5,3,4.0,28,82,22,3.0,51,9.6,77,0
Jan Kuchta,Cechia,ATT,28,26,9,4,7.2,48,76,24,3.2,53,9.4,78,0
Patrik Schick,Cechia,ATT,30,28,14,4,11.2,68,78,28,3.6,56,9.2,80,0
