Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Dayne St. Clair,Canada,POR,28,22,0,0,0.0,0,66,4,0.0,58,5.2,84,58
Maxime Crepeau,Canada,POR,31,18,0,0,0.0,0,64,3,0.0,56,5.1,83,46
Owen Goodman,Canada,POR,22,12,0,0,0.0,0,63,3,0.0,54,5.0,81,28
Alphonso Davies,Canada,DIF,25,14,1,5,1.2,10,88,18,1.4,68,10.8,86,0
Moise Bombito,Canada,DIF,23,26,1,1,0.7,6,74,12,0.8,68,9.6,85,0
Derek Cornelius,Canada,DIF,29,26,1,1,0.7,6,72,12,0.7,70,9.4,84,0
Luc De Fougerolles,Canada,DIF,22,22,0,2,0.5,5,76,12,0.7,62,9.8,83,0
Alistair Johnston,Canada,DIF,26,28,2,4,1.0,9,80,18,1.2,65,10.4,85,0
Alfie Jones,Canada,DIF,28,22,1,1,0.6,5,72,12,0.7,66,9.4,83,0
Richie Laryea,Canada,DIF,30,24,1,3,0.8,7,82,18,1.2,64,10.4,83,0
Niko Sigur,Canada,DIF,23,18,0,2,0.5,5,78,14,0.8,60,10.0,82,0
Joel Waterman,Canada,DIF,30,20,1,1,0.6,5,72,12,0.7,65,9.4,82,0
Ali Ahmed,Canada,CEN,23,22,2,3,1.6,12,80,36,3.0,60,10.6,83,0
Tajon Buchanan,Canada,ALA,26,28,6,2,5.0,36,90,42,6.8,58,10.6,83,0
Mathieu Choiniere,Canada,ALA,24,22,3,3,2.4,18,84,32,4.4,56,10.4,81,0
Stephen Eustaquio,Canada,CEN,28,28,4,6,3.2,24,78,48,4.2,66,10.8,87,0
Marcelo Flores,Canada,CEN,22,22,3,4,2.4,18,80,38,3.6,60,10.6,83,0
Ismael Kone,Canada,CEN,23,24,3,4,2.4,18,78,42,3.6,63,10.6,85,0
Liam Millar,Canada,ALA,25,22,3,3,2.4,18,84,34,4.6,56,10.4,82,0
Jonathan Osorio,Canada,CEN,33,22,2,3,1.6,12,74,38,2.8,62,10.2,83,0
Nathan Saliba,Canada,CEN,21,18,1,2,0.8,8,78,32,2.6,58,10.4,83,0
Jacob Shaffelburg,Canada,ALA,25,22,4,3,3.2,22,84,32,4.4,56,10.4,81,0
Jonathan David,Canada,ATT,27,28,8,5,7.2,48,82,30,4.2,56,9.6,82,0
Promise David,Canada,ATT,24,22,8,3,6.4,42,84,26,3.6,54,9.8,81,0
Cyle Larin,Canada,ATT,30,22,9,2,7.4,48,78,24,3.2,54,9.4,79,0
Tani Oluwaseyi,Canada,ATT,22,18,4,2,3.2,22,82,20,3.0,52,9.6,78,0
