Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Mahmoud Abunada,Qatar,Portiere,27,22,0,0,0.1,1,72,1,1,11,9.5,65,54
Meshaal Barsham,Qatar,Portiere,28,18,0,0,0.1,1,74,1,1,12,9.7,67,58
Salah Zakaria,Qatar,Portiere,29,14,0,0,0.1,1,70,1,1,10,9.4,64,42
Ayoub Al-Oui,Qatar,Difensore,28,26,1,2,0.2,12,81,1.2,1.5,35,10.7,80,
Boualem Khoukhi,Qatar,Difensore,34,24,1,1,0.2,10,76,1.0,1.0,42,10.4,82,
Homam Al-Amin,Qatar,Difensore,27,25,1,2,0.3,13,80,1.3,1.6,38,10.8,79,
Lucas Mendes,Qatar,Difensore,32,27,2,3,0.3,15,79,1.4,1.3,41,10.6,83,
Issa Laye,Qatar,Difensore,26,23,1,1,0.2,9,82,1.1,1.7,33,10.9,80,
Pedro Miguel,Qatar,Difensore,32,28,2,4,0.3,16,80,1.8,1.4,40,11.0,84,
Al-Hashmi Al-Hussain,Qatar,Difensore,25,20,1,1,0.2,8,80,1.0,1.4,30,10.5,78,
Sultan Al-Brake,Qatar,Difensore,27,24,1,2,0.3,11,83,1.3,1.8,36,10.8,81,
Assim Madibo,Qatar,Centrocampista,28,26,2,3,0.4,20,80,2.4,2.2,56,11.0,84,
Abdulaziz Hatimm,Qatar,Centrocampista,29,27,3,5,0.6,32,81,3.2,2.8,50,11.1,83,
Ahmed Fathy,Qatar,Centrocampista,30,22,1,2,0.3,14,78,1.9,1.8,43,10.7,82,
Karim Boudiaf,Qatar,Centrocampista,33,25,2,3,0.4,18,77,2.1,1.6,55,10.8,85,
Jassim Gaber,Qatar,Centrocampista,24,21,2,3,0.4,19,81,2.5,2.6,38,10.9,80,
Mohamed Al-Mannai,Qatar,Centrocampista,27,24,3,4,0.5,25,80,2.8,2.4,44,11.0,81,
Ahmed Al-Ganehi,Qatar,Attaccante,28,27,8,5,1.0,58,86,2.6,4.2,46,11.4,75,
Ahmed Alaa,Qatar,Attaccante,24,22,6,4,0.8,44,84,2.3,3.8,38,11.2,74,
Akram Afif,Qatar,Attaccante,29,22,12,12,1.4,76,87,4.2,5.8,52,11.6,78,
Almoez Ali,Qatar,Attaccante,29,14,4,1,0.7,34,83,1.8,3.1,30,11.0,74,
Edmilson Junior,Qatar,Attaccante,31,22,5,1,0.8,40,82,2.1,3.5,36,11.1,76,
Hassan Al-Haydos,Qatar,Attaccante,35,20,4,6,0.6,28,78,2.9,3.0,34,10.6,77,
Mohammed Muntari,Qatar,Attaccante,29,23,7,3,0.9,48,84,2.0,3.2,40,11.2,73,
Tashin Mohammed Jamshid,Qatar,Attaccante,19,16,3,3,0.5,28,86,2.2,3.6,28,11.0,74,
Youssef Abdulrazzaq,Qatar,Attaccante,23,18,5,4,0.7,36,85,2.4,4.0,33,11.1,73,
