Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Gregor Kobel,Svizzera,POR,28,34,0,0,0.0,0,67,4,0.0,60,5.3,86,82
Yvon Mvogo,Svizzera,POR,31,22,0,0,0.0,0,64,3,0.0,56,5.1,82,52
Marvin Keller,Svizzera,POR,23,18,0,0,0.0,0,63,3,0.0,54,5.0,80,44
Manuel Akanji,Svizzera,DIF,30,34,2,1,0.9,7,76,14,0.9,74,9.6,88,0
Nico Elvedi,Svizzera,DIF,29,30,1,1,0.7,6,72,12,0.8,70,9.4,85,0
Ricardo Rodriguez,Svizzera,DIF,33,28,1,5,0.9,8,74,20,1.4,63,10.2,84,0
Silvan Widmer,Svizzera,DIF,33,28,3,4,1.4,12,78,18,1.2,64,10.4,84,0
Miro Muheim,Svizzera,DIF,28,28,1,4,0.8,8,78,18,1.2,63,10.4,83,0
Aurele Amenda,Svizzera,DIF,23,28,2,2,1.0,8,76,14,0.9,68,9.8,85,0
Eray Comert,Svizzera,DIF,28,24,1,1,0.7,6,74,12,0.8,68,9.6,84,0
Luca Jaquez,Svizzera,DIF,22,28,2,3,1.0,9,80,16,1.0,64,10.2,84,0
Granit Xhaka,Svizzera,CEN,33,28,1,5,2.0,14,74,46,3.6,68,10.4,87,0
Remo Freuler,Svizzera,CEN,33,30,3,5,2.4,18,72,44,3.4,66,10.4,86,0
Ardon Jashari,Svizzera,CEN,22,28,4,6,3.2,24,80,46,4.0,63,10.8,86,0
Denis Zakaria,Svizzera,CEN,29,26,3,3,2.4,18,76,40,3.2,64,10.4,84,0
Djibril Sow,Svizzera,CEN,29,28,4,5,3.2,22,76,42,3.4,64,10.6,84,0
Christian Fassnacht,Svizzera,ALA,32,34,18,6,13.8,82,84,48,6.4,58,10.6,82,0
Michel Aebischer,Svizzera,CEN,29,28,4,5,3.2,22,76,42,3.4,62,10.4,83,0
Fabian Rieder,Svizzera,CEN,24,26,5,6,4.0,28,80,46,4.0,62,10.6,84,0
Johan Manzambi,Svizzera,ALA,20,28,8,6,6.4,42,86,44,6.0,58,10.8,82,0
Ruben Vargas,Svizzera,ALA,27,30,8,7,6.4,44,86,42,6.0,57,10.6,82,0
Breel Embolo,Svizzera,ATT,29,28,10,4,8.2,54,82,28,3.8,55,9.8,80,0
Dan Ndoye,Svizzera,ALA,25,30,4,4,3.6,32,90,36,5.8,57,10.6,81,0
Noah Okafor,Svizzera,ATT,25,31,8,1,6.4,26,86,22,3.2,54,9.6,80,0
Zeki Amdouni,Svizzera,ATT,25,28,10,4,8.0,52,82,28,3.6,53,9.8,79,0
Cedric Itten,Svizzera,ATT,28,26,10,3,8.0,50,76,22,3.0,52,9.4,78,0
