Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Alisson,Brasile,POR,33,32,0,0,0.0,0,64,5,0.0,60,5.3,86,88
Ederson,Brasile,POR,32,28,0,0,0.0,0,66,4,0.0,58,5.2,85,74
Weverton,Brasile,POR,38,28,0,0,0.0,0,62,4,0.0,56,5.1,83,64
Alex Sandro,Brasile,DIF,35,24,1,3,0.7,6,72,14,0.8,62,9.6,82,0
Bremer,Brasile,DIF,28,26,2,1,0.9,7,76,14,0.9,72,9.6,85,0
Danilo,Brasile,DIF,34,22,1,3,0.7,7,74,16,1.0,63,10.0,83,0
Douglas Santos,Brasile,DIF,30,22,1,4,0.8,7,78,16,1.0,63,10.2,83,0
Gabriel Magalhaes,Brasile,DIF,27,34,5,1,2.2,18,76,16,1.0,74,9.8,88,0
Ibanez,Brasile,DIF,27,28,2,1,0.9,7,74,14,0.9,70,9.6,84,0
Leo Pereira,Brasile,DIF,29,24,2,1,0.9,7,74,14,0.9,70,9.6,84,0
Marquinhos,Brasile,DIF,31,34,3,2,1.2,9,74,16,1.0,74,9.6,88,0
Wesley,Brasile,DIF,21,28,3,6,1.8,14,84,22,1.6,66,10.6,84,0
Bruno Guimaraes,Brasile,CEN,28,32,6,8,4.8,36,78,52,4.2,70,11.0,87,0
Casemiro,Brasile,CEN,34,28,3,4,2.4,18,72,46,3.4,68,10.2,86,0
Danilo Santos,Brasile,CEN,27,28,4,5,3.2,24,76,44,3.6,65,10.6,85,0
Fabinho,Brasile,CEN,32,22,2,3,1.6,14,72,42,3.2,66,10.2,85,0
Paquetà,Brasile,CEN,28,28,8,10,6.4,44,80,52,4.8,66,10.8,86,0
Endrick,Brasile,ATT,19,26,12,4,9.6,58,86,28,4.0,54,9.8,80,0
Gabriel Martinelli,Brasile,ALA,24,34,14,8,11.2,72,90,46,7.0,58,10.6,83,0
Igor Thiago,Brasile,ATT,23,28,12,4,9.8,60,82,26,3.6,53,9.8,79,0
Luis Henrique,Brasile,ALA,24,28,10,8,8.0,52,88,44,6.4,57,10.6,82,0
Matheus Cunha,Brasile,ATT,26,34,15,8,12.4,74,86,38,5.2,57,9.9,82,0
Neymar,Brasile,ATT,34,8,4,2,3.8,28,84,30,5.8,54,9.4,82,0
Raphinha,Brasile,ALA,29,57,34,26,28.4,148,92,72,9.2,62,10.8,85,0
Rayan,Brasile,ALA,19,24,8,5,6.4,42,88,38,5.8,56,10.4,81,0
Vinicius Jr,Brasile,ALA,25,36,16,5,14.4,100,97,52,8.8,62,10.6,84,0
