Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Johny Placide,Haiti,POR,37,80,0,0,0.0,0,62,4,0.0,56,5.2,80,58
Alexandre Pierre,Haiti,POR,28,12,0,0,0.0,0,63,3,0.0,54,5.1,78,32
Josué Duverger,Haiti,POR,26,8,0,0,0.0,0,61,3,0.0,52,5.0,76,20
Carlens Arcus,Haiti,DIF,28,30,1,2,0.7,6,76,14,0.9,64,10.2,82,0
Wilguens Paugain,Haiti,DIF,26,24,1,3,0.8,7,78,16,1.0,62,10.4,82,0
Ricardo Adé,Haiti,DIF,27,22,1,2,0.7,6,75,14,0.9,63,9.8,82,0
Jean-Kévin Duverne,Haiti,DIF,27,34,2,2,1.0,9,76,16,1.0,68,9.8,84,0
Hannes Delcroix,Haiti,DIF,26,20,1,1,0.6,5,74,12,0.8,66,9.6,83,0
Keeto Thermoncy,Haiti,DIF,25,18,0,2,0.5,5,76,12,0.7,62,9.8,81,0
Martin Expérience,Haiti,DIF,27,22,1,2,0.7,6,74,14,0.8,63,9.6,82,0
Duke Lacroix,Haiti,DIF,26,20,0,1,0.4,5,72,12,0.7,62,9.5,81,0
Josué Casimir,Haiti,CEN,26,28,6,5,4.8,32,80,42,3.6,60,10.4,82,0
Leverton Pierre,Haiti,CEN,27,24,2,3,1.8,14,74,36,2.8,59,10.2,81,0
Dominique Simon,Haiti,CEN,26,20,2,2,1.4,12,72,32,2.4,58,10.0,80,0
Woodensky Pierre,Haiti,CEN,25,18,1,2,1.0,10,74,30,2.2,57,10.0,79,0
Carl Fred Sainté,Haiti,CEN,28,22,2,3,1.6,14,74,34,2.6,58,10.2,81,0
Danley Jean-Jacques,Haiti,CEN,26,24,2,3,1.8,16,76,36,2.8,59,10.4,82,0
Jean-Ricner Bellegarde,Haiti,CEN,27,35,2,7,2.4,22,82,52,4.2,66,10.8,84,0
Duckens Nazon,Haiti,ATT,32,80,6,3,5.2,36,82,28,3.2,56,9.6,78,0
Frantzdy Pierrot,Haiti,ATT,31,49,10,4,8.2,54,78,30,3.4,55,9.4,77,0
Deedson Louicius,Haiti,ATT,25,22,5,3,4.0,28,80,26,3.2,53,9.6,78,0
Ruben Providence,Haiti,ATT,25,20,4,3,3.4,24,82,24,3.0,52,9.8,78,0
Yassin Fortuné,Haiti,ALA,26,24,5,6,4.2,32,84,36,4.4,56,10.4,79,0
Wilson Isidor,Haiti,ATT,25,30,5,0,6.3,40,86,20,2.8,55,9.8,78,0
Lenny Joseph,Haiti,ATT,25,28,7,3,5.6,38,84,26,3.4,54,9.8,79,0
Derrick Etienne Jr,Haiti,ALA,30,28,4,5,3.4,26,82,34,4.0,55,10.2,79,0
