Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Craig Gordon,Scozia,POR,43,14,0,0,0.0,0,58,4,0.0,52,5.0,82,36
Angus Gunn,Scozia,POR,29,18,0,0,0.0,0,64,3,0.0,56,5.1,83,44
Liam Kelly,Scozia,POR,33,22,0,0,0.0,0,63,3,0.0,55,5.1,81,52
Grant Hanley,Scozia,DIF,34,28,2,1,0.9,7,70,14,0.8,70,9.4,84,0
Jack Hendry,Scozia,DIF,30,24,1,1,0.7,6,72,12,0.7,68,9.4,83,0
Aaron Hickey,Scozia,DIF,23,26,3,5,1.6,12,82,20,1.4,64,10.6,84,0
Dom Hyam,Scozia,DIF,29,30,2,2,1.0,8,72,14,0.8,66,9.6,82,0
Scott McKenna,Scozia,DIF,29,28,2,2,1.0,8,74,14,0.9,70,9.6,84,0
Nathan Patterson,Scozia,DIF,24,24,2,4,1.2,10,80,18,1.2,63,10.2,83,0
Anthony Ralston,Scozia,DIF,26,30,2,5,1.2,10,80,20,1.4,64,10.4,84,0
Andy Robertson,Scozia,DIF,32,32,3,10,2.2,16,82,28,1.8,66,10.8,86,0
John Souttar,Scozia,DIF,28,22,1,1,0.7,6,72,12,0.7,68,9.4,83,0
Kieran Tierney,Scozia,DIF,28,28,2,5,1.4,10,80,20,1.4,65,10.4,84,0
Ryan Christie,Scozia,CEN,30,32,6,8,4.8,34,78,46,4.0,63,10.6,83,0
Findlay Curtis,Scozia,CEN,19,12,1,2,0.8,8,80,28,2.8,56,10.4,81,0
Lewis Ferguson,Scozia,CEN,27,30,8,6,6.4,44,76,46,3.8,65,10.8,84,0
Ben Gannon-Doak,Scozia,ALA,22,18,4,6,3.4,28,88,36,5.2,57,10.6,81,0
Billy Gilmour,Scozia,CEN,24,28,3,5,2.4,20,76,44,3.6,63,10.6,85,0
John McGinn,Scozia,CEN,31,32,6,7,5.0,36,78,50,4.4,65,10.8,84,0
Kenny McLean,Scozia,CEN,34,26,3,5,2.4,20,72,40,3.2,62,10.2,83,0
Scott McTominay,Scozia,CEN,29,30,10,3,8.2,55,78,52,4.2,68,10.6,85,0
Che Adams,Scozia,ATT,29,28,10,5,8.2,52,80,30,3.8,54,9.8,79,0
Lyndon Dykes,Scozia,ATT,30,28,8,3,6.4,44,78,24,3.0,54,9.6,78,0
George Hirst,Scozia,ATT,26,30,8,4,6.4,44,78,24,3.0,53,9.6,78,0
Lawrence Shankland,Scozia,ATT,30,34,22,6,17.8,98,78,28,3.4,55,9.6,79,0
Ross Stewart,Scozia,ATT,28,26,12,4,9.6,58,76,24,3.0,53,9.4,78,0
