Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Mathew Ryan,Australia,POR,33,72,0,0,0.0,0,65,4,0.0,60,5.2,85,82
Patrick Beach,Australia,POR,28,14,0,0,0.0,0,63,3,0.0,54,5.0,82,34
Kai Trewin,Australia,POR,22,8,0,0,0.0,0,62,3,0.0,52,5.0,80,18
Aziz Behich,Australia,DIF,34,62,1,3,0.7,6,76,16,1.0,63,10.0,83,0
Jordan Bos,Australia,DIF,26,18,0,2,0.5,5,78,14,0.9,62,10.2,83,0
Joel Burgess,Australia,DIF,26,16,0,1,0.4,4,74,12,0.7,61,9.8,82,0
Alessandro Circati,Australia,DIF,22,22,1,1,0.6,5,74,12,0.8,68,9.6,84,0
Milos Degenek,Australia,DIF,31,52,2,1,0.8,7,72,14,0.8,70,9.4,84,0
Nestory Geria,Australia,DIF,23,18,0,2,0.5,5,80,14,0.9,60,10.2,82,0
Lachlan Herrington,Australia,DIF,24,14,0,1,0.4,4,74,12,0.7,60,9.6,81,0
Giuseppe Italiano,Australia,DIF,23,12,0,1,0.4,4,72,12,0.6,60,9.4,81,0
Harry Souttar,Australia,DIF,26,28,2,1,0.9,7,74,14,0.8,70,9.6,85,0
Riley Trewin,Australia,DIF,24,12,0,1,0.4,4,72,12,0.6,58,9.4,80,0
Cameron Devlin,Australia,CEN,28,24,2,3,1.6,12,76,38,2.8,62,10.4,83,0
Ajdin Hrustic,Australia,CEN,29,34,4,6,3.2,24,78,50,4.6,64,10.6,85,0
Jackson Irvine,Australia,CEN,32,60,6,4,4.8,34,74,48,3.8,68,10.6,86,0
Connor Metcalfe,Australia,CEN,26,28,3,4,2.4,18,80,44,3.6,63,10.8,85,0
Paul Okon-Engstler,Australia,CEN,22,14,1,2,0.8,8,78,30,2.6,57,10.2,82,0
Aiden O'Neill,Australia,CEN,27,38,2,3,1.6,12,76,54,3.8,68,10.6,85,0
Nestory Irankunda,Australia,ALA,20,13,5,2,4.0,42,94,26,6.4,52,10.4,80,0
Mathew Leckie,Australia,ALA,34,80,14,8,10.4,62,84,36,5.4,56,10.0,80,0
Awer Mabil,Australia,ALA,30,46,8,6,6.4,42,86,34,5.2,55,10.2,79,0
Mohamed Toure,Australia,ATT,23,22,9,3,7.4,48,82,24,3.8,54,9.6,79,0
Nishan Velupillay,Australia,ALA,22,18,4,3,3.2,22,84,28,4.6,52,10.2,79,0
Cristian Volpato,Australia,ALA,23,24,5,5,4.0,28,84,36,5.8,56,10.4,81,0
Tete Yengi,Australia,ATT,27,28,8,2,6.4,42,78,22,3.2,52,9.4,78,0
