Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Orlando Gill,Paraguay,Portiere,27,24,0,0,0.1,1,71,1,1,12,9.5,66,62
Roberto Fernandez,Paraguay,Portiere,37,18,0,0,0.1,1,70,1,1,10,9.3,64,48
Gaston Olveira,Paraguay,Portiere,25,12,0,0,0.1,1,72,1,1,9,9.4,65,34
Juan Caceres,Paraguay,Difensore,25,22,1,2,0.2,10,83,1.2,1.6,36,10.9,79,
Gustavo Velazquez,Paraguay,Difensore,28,24,1,1,0.2,9,80,1.0,1.2,38,10.6,80,
Gustavo Gomez,Paraguay,Difensore,32,34,3,2,0.4,18,79,1.1,1.1,52,10.7,84,
Junior Alonso,Paraguay,Difensore,32,28,2,1,0.3,14,78,1.0,1.0,48,10.5,83,
José Canale,Paraguay,Difensore,26,22,1,2,0.2,10,81,1.2,1.5,36,10.8,80,
Omar Alderete,Paraguay,Difensore,29,26,2,1,0.3,14,82,1.1,1.3,44,10.9,81,
Alexandro Maidana,Paraguay,Difensore,20,18,1,1,0.2,8,84,1.1,1.6,30,10.8,79,
Fabian Balbuena,Paraguay,Difensore,33,24,1,1,0.2,10,77,1.0,1.0,42,10.5,82,
Diego Gomez,Paraguay,Centrocampista,22,16,3,3,0.5,22,85,2.8,3.4,42,11.2,83,
Mauricio Magalhaes,Paraguay,Centrocampista,30,28,2,3,0.4,18,79,2.0,1.8,54,10.8,84,
Damian Bobadilla,Paraguay,Centrocampista,27,28,3,4,0.5,26,81,2.4,2.4,50,10.9,83,
Braian Ojeda,Paraguay,Centrocampista,24,28,3,5,0.5,28,83,2.8,2.8,46,11.1,82,
Andrés Cubas,Paraguay,Centrocampista,29,26,2,3,0.4,20,80,2.2,2.0,56,10.8,85,
Matias Galarza,Paraguay,Centrocampista,22,24,3,4,0.5,26,83,2.6,3.0,40,11.1,81,
Alejandro Romero,Paraguay,Centrocampista,28,26,4,5,0.6,32,84,3.0,3.2,44,11.2,80,
Gustavo Caballero,Paraguay,Centrocampista,26,24,2,3,0.4,20,81,2.4,2.6,42,10.9,81,
Ramon Sosa,Paraguay,Attaccante,26,28,4,4,0.7,38,88,2.6,4.8,44,11.4,76,
Alex Arce,Paraguay,Attaccante,28,30,10,5,1.1,64,83,2.2,3.2,44,11.0,75,
Gabriel Avalos,Paraguay,Attaccante,34,28,8,4,1.0,54,80,2.0,2.6,40,10.8,74,
Isidro Pitta,Paraguay,Attaccante,26,26,7,3,0.9,50,84,2.0,3.4,38,11.0,74,
Miguel Almiron,Paraguay,Attaccante,32,15,1,5,0.6,27,85,3.6,3.8,40,11.1,82,
Julio Enciso,Paraguay,Attaccante,22,27,6,3,0.8,52,87,2.8,4.4,42,11.4,77,
Antonio Sanabria,Paraguay,Attaccante,30,22,1,1,0.5,28,81,1.8,2.4,36,10.8,73,
