Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Galíndez,Ecuador,Portiere,39,26,0,0,0.1,1,70,1,1,10,9.4,64,68
Ramirez,Ecuador,Portiere,28,18,0,0,0.1,1,72,1,1,11,9.5,66,52
Valle,Ecuador,Portiere,27,12,0,0,0.1,1,73,1,1,9,9.3,65,38
Pacho,Ecuador,Difensore,24,38,2,3,0.4,22,83,1.6,1.3,58,11.3,88,
Hincapié,Ecuador,Difensore,24,36,1,2,0.2,14,86,1.4,2.1,52,11.5,88,
Ordonez,Ecuador,Difensore,22,30,2,4,0.3,18,82,1.8,1.9,44,11.1,84,
Porozo,Ecuador,Difensore,25,28,1,1,0.2,11,80,1.0,1.3,39,10.8,80,
Estupinan,Ecuador,Difensore,27,19,1,1,0.3,9,88,1.2,2.2,36,11.6,87,
Medina,Ecuador,Difensore,29,27,1,3,0.2,13,81,1.4,1.5,41,10.9,82,
Preciado,Ecuador,Difensore,26,28,1,2,0.2,14,84,1.3,1.8,40,11.1,81,
Caicedo,Ecuador,Centrocampista,24,33,3,1,0.4,20,82,2.1,1.9,74,11.4,86,
Alcivar,Ecuador,Centrocampista,29,30,3,5,0.5,28,80,2.7,2.6,48,11.0,83,
Castillo,Ecuador,Centrocampista,25,28,4,3,0.6,30,83,2.5,3.2,46,11.2,81,
Franco,Ecuador,Centrocampista,29,30,2,4,0.4,22,79,2.2,2.0,55,11.0,83,
Vite,Ecuador,Centrocampista,24,26,3,4,0.5,26,85,2.8,3.8,42,11.3,79,
Minda,Ecuador,Centrocampista,24,28,4,5,0.6,32,83,2.9,3.4,44,11.2,80,
Paez,Ecuador,Centrocampista,19,20,4,6,0.7,34,88,3.6,4.8,38,11.5,82,
Angulo,Ecuador,Centrocampista,24,30,5,7,0.8,42,86,3.2,4.2,46,11.4,79,
Plata,Ecuador,Attaccante,25,22,5,3,0.9,48,88,3.1,5.2,42,11.6,77,
A. Yeboah,Ecuador,Attaccante,26,28,9,5,1.1,62,87,2.8,5.6,46,11.5,76,
Valencia,Ecuador,Attaccante,27,30,11,6,1.2,72,85,2.9,4.4,48,11.3,77,
Caicedo,Ecuador,Attaccante,31,24,8,4,1.0,54,83,2.2,3.2,38,11.0,75,
Arevalo,Ecuador,Attaccante,22,28,7,5,0.9,52,87,2.5,4.6,40,11.4,76,
E. Valencia,Ecuador,Attaccante,36,22,6,3,0.9,44,81,1.8,2.2,36,10.7,74,
Rodriguez,Ecuador,Attaccante,24,26,10,8,1.2,68,86,3.0,4.8,44,11.4,77,
