Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Manuel Neuer,Germania,POR,40,22,0,0,0.0,0,62,4,0.0,56,5.0,86,58
Oliver Baumann,Germania,POR,35,30,0,0,0.0,0,65,4,0.0,58,5.2,84,72
Alexander Nubel,Germania,POR,29,28,0,0,0.0,0,66,4,0.0,58,5.2,85,68
Waldemar Anton,Germania,DIF,29,30,2,2,1.0,8,76,14,0.9,70,9.6,85,0
Nathaniel Brown,Germania,DIF,22,26,1,3,0.8,7,80,16,1.0,64,10.4,84,0
Pascal Gross,Germania,DIF,35,30,4,8,3.2,24,74,28,2.0,63,10.4,86,0
David Raum,Germania,DIF,26,28,2,8,1.6,14,82,24,1.6,65,10.8,85,0
Antonio Rudiger,Germania,DIF,33,28,2,1,0.9,7,76,14,0.9,72,9.6,87,0
Nico Schlotterbeck,Germania,DIF,26,30,3,2,1.4,10,76,14,0.9,72,9.8,86,0
Jonathan Tah,Germania,DIF,30,30,2,1,0.9,7,74,14,0.8,72,9.6,86,0
Malick Thiaw,Germania,DIF,24,28,2,1,0.9,7,76,14,0.9,70,9.8,85,0
Felix Nmecha,Germania,CEN,24,28,5,5,4.0,28,80,44,3.8,66,10.8,85,0
Nadiem Amiri,Germania,CEN,29,26,4,6,3.2,22,78,42,3.4,62,10.4,83,0
Joshua Kimmich,Germania,CEN,31,30,5,8,4.0,30,76,52,4.4,68,11.0,90,0
Leon Goretzka,Germania,CEN,31,28,6,6,5.0,34,78,48,4.2,66,10.8,86,0
Lennart Karl,Germania,CEN,18,24,6,5,5.0,32,86,40,4.0,60,10.8,84,0
Alexander Pavlovic,Germania,CEN,21,28,4,6,3.2,24,78,46,3.8,65,11.0,87,0
Angelo Stiller,Germania,CEN,24,30,5,7,4.0,28,78,46,3.8,64,10.8,86,0
Jamie Leweling,Germania,ALA,25,30,12,7,9.6,62,88,46,6.4,58,10.8,82,0
Jamal Musiala,Germania,ALA,23,22,8,6,6.4,48,88,52,7.2,62,10.6,86,0
Florian Wirtz,Germania,ALA,23,30,10,8,8.0,56,86,58,7.4,63,10.8,86,0
Maximilian Beier,Germania,ATT,23,30,14,6,11.2,68,82,34,4.4,56,9.8,80,0
Kai Havertz,Germania,ATT,26,28,14,6,11.4,62,80,38,4.8,57,9.8,82,0
Leroy Sane,Germania,ALA,30,28,7,5,5.6,44,90,38,6.0,57,10.4,82,0
Denis Undav,Germania,ATT,29,34,25,8,20.4,112,80,34,4.4,56,9.6,80,0
Nick Woltemade,Germania,ATT,24,30,12,5,9.6,58,78,28,3.8,55,9.4,79,0
