Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Zion Suzuki,Giappone,POR,23,28,0,0,0.0,0,66,4,0.0,58,5.3,83,68
Tomoki Hayakawa,Giappone,POR,27,18,0,0,0.0,0,64,3,0.0,56,5.1,81,42
Keisuke Osako,Giappone,POR,26,12,0,0,0.0,0,63,3,0.0,54,5.0,80,28
Yuto Nagatomo,Giappone,DIF,39,18,0,2,0.4,4,70,14,0.7,60,9.4,81,0
Shogo Taniguchi,Giappone,DIF,34,24,1,1,0.6,6,72,12,0.7,68,9.4,83,0
Kou Itakura,Giappone,DIF,28,30,2,2,1.0,8,74,14,0.8,70,9.6,85,0
Tsuyoshi Watanabe,Giappone,DIF,29,28,1,1,0.7,6,74,12,0.7,70,9.5,84,0
Takehiro Tomiyasu,Giappone,DIF,27,24,1,3,0.8,7,78,16,1.0,68,10.2,84,0
Hiroki Ito,Giappone,DIF,26,22,1,2,0.7,7,76,14,0.9,70,9.8,84,0
Ayumu Seko,Giappone,DIF,25,24,2,4,1.0,9,80,18,1.2,64,10.4,83,0
Yukinari Sugawara,Giappone,DIF,25,28,3,6,1.6,12,84,22,1.6,65,10.8,84,0
Junnosuke Suzuki,Giappone,DIF,22,20,0,2,0.5,5,76,14,0.8,62,10.0,82,0
Wataru Endo,Giappone,CEN,33,12,0,1,0.4,4,72,36,2.8,68,10.4,87,0
Junya Ito,Giappone,ALA,33,28,8,7,6.4,44,88,44,5.8,58,10.6,81,0
Daichi Kamada,Giappone,CEN,29,30,6,7,5.0,36,78,46,4.2,64,10.6,84,0
Koki Ogawa,Giappone,ATT,28,26,12,4,9.6,54,80,28,3.6,54,9.8,78,0
Daizen Maeda,Giappone,ATT,28,38,14,6,11.2,68,86,32,4.2,55,10.2,79,0
Ritsu Doan,Giappone,ALA,27,30,10,5,8.0,56,88,44,6.2,58,10.6,82,0
Ayase Ueda,Giappone,ATT,27,32,18,6,14.4,82,82,32,4.0,55,9.8,79,0
Ao Tanaka,Giappone,CEN,26,34,5,7,4.0,28,78,46,3.8,64,10.8,85,0
Keito Nakamura,Giappone,ALA,25,30,10,8,8.0,52,86,44,6.0,57,10.4,82,0
Kaishu Sano,Giappone,CEN,25,26,4,5,3.2,22,78,42,3.4,63,10.6,84,0
Takefusa Kubo,Giappone,ALA,24,22,2,4,3.4,28,90,46,7.2,60,10.8,82,0
Yuito Suzuki,Giappone,CEN,24,26,5,6,4.0,28,82,42,3.8,62,10.6,83,0
Kento Shiogai,Giappone,ATT,21,22,7,4,5.6,36,84,26,3.4,52,9.8,79,0
Keisuke Goto,Giappone,ATT,20,18,4,3,3.2,24,82,22,3.0,50,9.6,77,0
