Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Bart Verbruggen,Olanda,POR,23,28,0,0,0.0,0,66,4,0.0,60,5.3,86,72
Mark Flekken,Olanda,POR,32,22,0,0,0.0,0,65,4,0.0,57,5.2,84,56
Robin Roefs,Olanda,POR,26,18,0,0,0.0,0,64,3,0.0,55,5.1,83,44
Nathan Ake,Olanda,DIF,30,28,2,2,1.0,8,76,16,1.0,72,9.8,87,0
Virgil van Dijk,Olanda,DIF,35,28,3,2,1.2,9,74,16,1.0,76,9.4,89,0
Denzel Dumfries,Olanda,DIF,29,28,4,6,2.4,18,82,24,1.6,68,10.6,86,0
Jorrel Hato,Olanda,DIF,20,26,1,3,0.8,7,80,16,1.0,65,10.4,86,0
Jan Paul van Hecke,Olanda,DIF,25,30,2,2,1.0,8,74,14,0.9,72,9.6,87,0
Micky van de Ven,Olanda,DIF,24,22,1,2,0.7,6,82,14,0.9,70,10.0,86,0
Jurrien Timber,Olanda,DIF,24,18,1,2,0.7,6,78,14,0.9,70,10.0,86,0
Mats Wieffer,Olanda,DIF,25,28,2,3,1.2,10,76,16,1.0,67,10.2,87,0
Frenkie de Jong,Olanda,CEN,28,28,4,6,3.2,28,78,62,5.8,68,10.8,92,0
Ryan Gravenberch,Olanda,CEN,23,28,4,5,3.2,26,78,54,4.8,66,11.0,89,0
Teun Koopmeiners,Olanda,CEN,27,28,8,8,6.4,48,78,56,5.2,66,10.8,87,0
Tijjani Reijnders,Olanda,CEN,27,28,6,8,5.0,38,80,58,5.8,66,10.8,89,0
Marten de Roon,Olanda,CEN,34,28,3,3,2.4,18,72,48,3.6,66,10.4,87,0
Guus Til,Olanda,CEN,27,28,6,6,5.0,34,78,44,4.2,63,10.6,85,0
Quinten Timber,Olanda,CEN,23,28,5,6,4.0,30,80,44,4.0,63,10.8,86,0
Justin Kluivert,Olanda,ALA,25,28,8,6,6.4,44,86,48,6.8,58,10.6,83,0
Brian Brobbey,Olanda,ATT,24,22,8,3,6.4,44,84,28,3.8,56,9.8,80,0
Memphis Depay,Olanda,ATT,32,18,7,4,6.0,44,82,30,4.6,56,9.4,82,0
Cody Gakpo,Olanda,ALA,26,28,8,6,6.4,50,88,46,6.8,60,10.6,85,0
Noa Lang,Olanda,ALA,26,24,6,5,5.0,36,88,42,6.4,57,10.4,83,0
Donyell Malen,Olanda,ALA,27,26,13,2,10.4,68,90,40,6.2,58,10.4,83,0
Crysencio Summerville,Olanda,ALA,24,26,8,6,6.4,48,90,44,7.0,57,10.6,83,0
Wout Weghorst,Olanda,ATT,33,22,6,3,5.0,34,74,24,3.2,54,9.4,79,0
