Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Viktor Johansson,Svezia,POR,27,24,0,0,0.0,0,67,4,0.0,58,5.3,83,72
Kristoffer Nordfeldt,Svezia,POR,35,14,0,0,0.0,0,62,3,0.0,54,5.1,80,38
Jacob Widell Zetterstrom,Svezia,POR,26,18,0,0,0.0,0,64,3,0.0,56,5.2,81,48
Hjalmar Ekdal,Svezia,DIF,25,26,1,3,0.8,7,76,16,1.0,64,10.2,84,0
Gabriel Gudmundsson,Svezia,DIF,25,28,2,5,1.2,10,80,20,1.4,66,10.6,84,0
Isak Hien,Svezia,DIF,25,30,2,1,0.9,8,76,14,0.9,72,9.6,85,0
Emil Holm,Svezia,DIF,24,22,1,4,0.8,8,82,18,1.2,65,10.4,84,0
Gustaf Lagerbielke,Svezia,DIF,25,26,1,1,0.7,6,74,12,0.8,70,9.5,83,0
Victor Lindelof,Svezia,DIF,31,30,2,2,1.0,9,74,14,0.9,72,9.6,85,0
Eric Smith,Svezia,DIF,26,26,1,2,0.7,7,74,14,0.8,68,9.8,83,0
Carl Starfelt,Svezia,DIF,28,24,1,1,0.6,6,73,12,0.7,70,9.5,83,0
Elliot Stroud,Svezia,DIF,22,20,0,2,0.5,5,75,12,0.7,64,9.6,82,0
Daniel Svensson,Svezia,DIF,24,28,2,4,1.1,10,80,18,1.2,65,10.4,84,0
Yasin Ayari,Svezia,CEN,21,28,4,7,3.2,26,80,48,4.0,62,10.8,84,0
Lucas Bergvall,Svezia,CEN,20,30,4,6,3.0,24,78,46,3.8,60,11.0,85,0
Jesper Karlstrom,Svezia,CEN,31,28,3,5,2.4,20,72,42,3.2,65,10.4,82,0
Ken Sema,Svezia,CEN,29,22,3,5,2.6,20,78,36,3.0,58,10.2,80,0
Mattias Svanberg,Svezia,CEN,26,28,4,5,3.0,24,76,42,3.4,64,10.6,83,0
Besfort Zeneli,Svezia,CEN,31,26,4,6,3.2,24,78,40,3.6,60,10.4,82,0
Taha Ali,Svezia,ATT,22,24,8,4,6.4,40,82,28,3.8,52,9.8,78,0
Alexander Bernhardsson,Svezia,ATT,26,26,10,5,8.0,50,78,30,3.6,54,9.6,78,0
Anthony Elanga,Svezia,ALA,23,20,3,5,2.8,28,90,30,5.2,55,10.7,79,0
Viktor Gyokeres,Svezia,ATT,27,33,14,1,13.2,78,86,38,4.2,58,9.9,79,0
Alexander Isak,Svezia,ATT,26,10,4,1,3.8,22,88,20,3.0,52,9.4,80,0
Gustaf Nilsson,Svezia,ATT,26,28,12,6,9.6,58,78,32,3.8,54,9.7,78,0
Benjamin Nygren,Svezia,ATT,23,28,9,5,7.2,48,80,28,3.6,53,9.6,79,0
