Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Mohamed El Shenawy,Egitto,POR,36,42,0,0,0.0,0,63,4,0.0,57,5.1,83,78
Mostafa Shobeir,Egitto,POR,28,22,0,0,0.0,0,64,3,0.0,56,5.1,82,54
El Mahdy Soliman,Egitto,POR,30,18,0,0,0.0,0,63,3,0.0,55,5.0,81,42
Mohamed Alaa,Egitto,POR,26,14,0,0,0.0,0,62,3,0.0,54,5.0,80,32
Mohamed Hany,Egitto,DIF,29,30,2,4,1.2,10,80,20,1.4,65,10.4,83,0
Tarek Alaa,Egitto,DIF,24,22,0,1,0.4,4,74,12,0.7,63,9.6,82,0
Rami Rabia,Egitto,DIF,32,28,2,1,0.9,8,74,14,0.8,68,9.6,83,0
Hamdi Fathy,Egitto,DIF,31,28,1,3,0.7,7,76,16,1.0,64,10.0,83,0
Yasser Ibrahim,Egitto,DIF,33,22,1,1,0.6,5,72,12,0.7,66,9.4,83,0
Hossam Abdelmaguid,Egitto,DIF,28,24,1,2,0.7,6,74,14,0.8,65,9.8,82,0
Ahmed Fattouh,Egitto,DIF,28,22,1,1,0.6,5,72,12,0.7,63,9.6,81,0
Mohamed Abdelmonem,Egitto,DIF,27,28,2,2,1.0,8,74,14,0.9,69,9.8,84,0
Karim Hafez,Egitto,DIF,26,22,1,2,0.7,6,74,14,0.8,64,9.8,82,0
Marwan Attia,Egitto,CEN,28,28,3,4,2.4,18,76,40,3.2,64,10.4,82,0
Mohanad Lasheen,Egitto,CEN,28,26,3,4,2.4,18,76,38,3.0,62,10.2,81,0
Nabil Emad Dunga,Egitto,CEN,27,22,2,3,1.8,14,74,34,2.6,60,10.0,80,0
Mahmoud Saber,Egitto,CEN,28,24,2,3,1.6,12,74,36,2.8,61,10.2,81,0
Ahmed Zizo,Egitto,CEN,30,24,4,5,3.2,22,78,40,3.4,62,10.4,82,0
Mahmoud Trezeguet,Egitto,CEN,31,24,6,5,5.0,34,78,38,5.0,58,10.4,81,0
Emam Ashour,Egitto,CEN,28,26,3,4,2.4,18,76,40,3.2,62,10.4,83,0
Mostafa Ziko,Egitto,CEN,28,22,3,3,2.4,16,76,36,3.0,60,10.2,80,0
Ibrahim Adel,Egitto,ALA,22,24,5,6,4.0,28,84,36,5.0,57,10.4,81,0
Haissem Hassan,Egitto,ALA,24,22,4,5,3.2,22,84,32,4.6,56,10.4,81,0
Mohamed Salah,Egitto,ALA,33,28,7,6,6.4,52,88,48,7.2,59,10.2,85,0
Omar Marmoush,Egitto,ATT,27,28,4,1,4.2,33,86,28,4.4,57,9.8,81,0
Hamza Abdelkarim,Egitto,ATT,18,10,2,1,1.8,14,82,18,2.8,50,9.6,78,0
