Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Max Crocombe,Nuova Zelanda,POR,32,22,0,0,0.0,0,65,4,0.0,58,5.3,83,64
Alex Paulsen,Nuova Zelanda,POR,26,6,0,0,0.0,0,62,3,0.0,55,5.1,80,28
Michael Woud,Nuova Zelanda,POR,27,6,0,0,0.0,0,63,3,0.0,54,5.2,79,22
Tyler Bindon,Nuova Zelanda,DIF,24,23,4,2,2.4,16,78,18,1.2,72,10.4,84,0
Michael Boxall,Nuova Zelanda,DIF,36,61,2,1,1.0,8,70,14,0.8,68,9.4,83,0
Liberato Cacace,Nuova Zelanda,DIF,24,35,1,4,0.9,9,82,20,1.4,64,10.6,83,0
Francis De Vries,Nuova Zelanda,DIF,23,18,0,1,0.4,4,76,10,0.6,62,9.6,81,0
Callan Elliot,Nuova Zelanda,DIF,23,14,0,1,0.3,4,80,10,0.7,60,10.2,81,0
Tim Payne,Nuova Zelanda,DIF,30,50,1,3,0.7,7,74,16,0.9,63,10.0,82,0
Nando Pijnaker,Nuova Zelanda,DIF,26,23,0,0,0.3,4,72,10,0.6,66,9.5,81,0
Tommy Smith,Nuova Zelanda,DIF,36,26,0,1,0.3,4,68,10,0.5,62,9.2,81,0
Finn Surman,Nuova Zelanda,DIF,25,17,2,1,1.0,8,74,14,0.8,64,9.8,82,0
Lachlan Bayliss,Nuova Zelanda,CEN,22,12,1,2,0.8,8,78,22,2.0,58,10.4,81,0
Joe Bell,Nuova Zelanda,CEN,26,31,2,4,1.6,14,76,38,2.8,62,10.6,82,0
Alex Rufer,Nuova Zelanda,CEN,29,24,0,2,0.5,6,72,28,2.0,60,10.2,80,0
Marko Stamenic,Nuova Zelanda,CEN,25,37,3,4,2.4,20,76,42,3.2,63,10.8,83,0
Ryan Thomas,Nuova Zelanda,CEN,29,25,3,3,2.2,18,74,36,2.8,61,10.4,82,0
Kosta Barbarouses,Nuova Zelanda,ALA,36,74,10,8,7.2,48,82,32,4.4,55,10.2,78,0
Matt Garbett,Nuova Zelanda,ATT,27,36,5,6,4.0,30,78,38,4.0,57,10.0,80,0
Eli Just,Nuova Zelanda,ALA,24,42,9,5,7.0,46,84,40,5.2,56,10.6,79,0
Callum McCowatt,Nuova Zelanda,ATT,27,30,4,4,3.2,24,78,30,3.6,53,9.8,79,0
Ben Old,Nuova Zelanda,ALA,23,22,2,3,1.8,16,80,26,3.2,52,10.4,78,0
Jesse Randall,Nuova Zelanda,ATT,22,9,2,1,1.6,12,76,18,2.4,50,9.6,77,0
Sarpreet Singh,Nuova Zelanda,ATT,26,26,3,4,2.6,20,76,34,3.6,52,9.8,79,0
Ben Waine,Nuova Zelanda,ATT,24,30,9,3,7.2,44,78,26,3.2,53,9.6,78,0
Chris Wood,Nuova Zelanda,ATT,34,36,20,3,16.8,78,78,22,2.4,58,9.5,78,0
