Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Carlos Santos,Capo Verde,POR,32,22,0,0,0.0,0,63,4,0.0,56,5.2,81,54
Josimar Dias Vozinha,Capo Verde,POR,34,48,0,0,0.0,0,62,4,0.0,55,5.1,80,62
Marcio da Rosa,Capo Verde,POR,28,14,0,0,0.0,0,62,3,0.0,54,5.0,79,32
Edilson Borges Diney,Capo Verde,DIF,34,28,0,1,0.4,4,72,12,0.7,63,9.6,81,0
Ianique Tavares Stopira,Capo Verde,DIF,37,30,1,1,0.6,5,70,12,0.6,65,9.4,82,0
Kelvin Pires Djack,Capo Verde,DIF,25,18,0,2,0.5,5,76,12,0.7,60,9.8,80,0
Joao Paulo Fernandes,Capo Verde,DIF,28,26,2,2,1.0,8,74,14,0.8,64,10.0,82,0
Roberto Lopes Pico,Capo Verde,DIF,32,24,1,1,0.6,5,70,12,0.6,66,9.4,82,0
Sidny Lopes Cabral,Capo Verde,DIF,26,28,6,5,4.2,26,82,22,1.6,66,10.6,84,0
Steven Moreira,Capo Verde,DIF,30,28,2,5,1.4,10,80,20,1.4,64,10.4,83,0
Wagner Pina,Capo Verde,DIF,30,26,1,3,0.8,7,76,16,1.0,63,10.0,82,0
Logan Costa,Capo Verde,DIF,25,28,2,2,1.0,8,76,14,0.9,70,9.8,84,0
Deroy Duarte,Capo Verde,CEN,26,26,4,4,3.0,22,78,40,3.2,62,10.4,83,0
Jair Semedo Yannick,Capo Verde,CEN,29,24,3,4,2.4,18,76,36,2.8,60,10.2,81,0
Jamiro Monteiro,Capo Verde,CEN,32,28,3,4,2.2,18,74,44,3.2,64,10.4,82,0
Laros Duarte,Capo Verde,CEN,27,22,4,5,3.2,22,78,38,3.0,61,10.4,82,0
Kevin Pina,Capo Verde,CEN,27,24,5,5,3.8,26,78,40,3.2,62,10.4,82,0
Telmo Arcanjo,Capo Verde,CEN,26,28,4,6,3.2,24,80,40,3.4,62,10.6,83,0
Dailon Livramento,Capo Verde,ATT,24,24,8,4,6.4,42,82,28,3.6,52,9.8,78,0
Garry Rodrigues,Capo Verde,ALA,34,26,8,6,6.4,44,84,36,5.2,55,10.2,79,0
Hélio Varela,Capo Verde,ALA,26,22,7,5,5.6,38,84,32,4.4,54,10.2,79,0
Nuno da Costa,Capo Verde,ATT,34,24,8,4,6.4,44,78,26,3.4,53,9.6,78,0
Ryan Mendes,Capo Verde,ALA,35,48,12,10,9.6,58,84,44,6.0,56,10.0,79,0
Willy Semedo,Capo Verde,ATT,30,24,9,4,7.2,48,80,26,3.6,54,9.8,78,0
Gilson Benchimol,Capo Verde,ATT,28,20,6,3,5.0,34,78,24,3.2,52,9.6,77,0
Jovane Cabral,Capo Verde,ALA,27,26,9,6,7.2,48,86,38,5.4,56,10.4,80,0
