Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Unai Simon,Spagna,POR,28,30,0,0,0.0,0,66,4,0.0,60,5.3,86,74
David Raya,Spagna,POR,30,34,0,0,0.0,0,67,4,0.0,62,5.3,87,82
Joan Garcia,Spagna,POR,23,22,0,0,0.0,0,65,3,0.0,58,5.2,85,54
Marc Cucurella,Spagna,DIF,26,30,2,6,1.4,12,82,22,1.6,66,10.8,87,0
Alejandro Grimaldo,Spagna,DIF,30,32,6,12,3.8,28,84,28,1.8,67,10.8,87,0
Pau Cubarsi,Spagna,DIF,18,36,2,1,0.9,7,76,14,0.9,72,9.8,89,0
Aymeric Laporte,Spagna,DIF,32,26,2,1,0.9,7,74,14,0.9,72,9.4,88,0
Marc Pubill,Spagna,DIF,22,28,2,5,1.2,10,82,18,1.2,64,10.6,86,0
Eric Garcia,Spagna,DIF,24,26,1,2,0.7,6,74,12,0.8,70,9.6,88,0
Marcos Llorente,Spagna,DIF,30,28,4,6,2.4,18,80,24,1.6,66,10.6,87,0
Pedro Porro,Spagna,DIF,26,28,4,8,2.2,18,84,24,1.8,66,10.8,86,0
Pedri,Spagna,CEN,23,28,8,10,6.4,52,80,68,6.4,66,10.8,91,0
Fabian Ruiz,Spagna,CEN,29,28,6,10,4.8,40,78,58,5.2,67,10.6,90,0
Martin Zubimendi,Spagna,CEN,26,30,3,4,2.4,18,76,52,4.2,68,10.8,91,0
Gavi,Spagna,CEN,21,26,5,7,4.0,32,80,56,5.8,65,10.8,90,0
Rodri,Spagna,CEN,29,18,3,5,2.4,18,74,52,4.2,68,10.6,92,0
Alex Baena,Spagna,CEN,24,28,8,10,6.4,48,84,54,6.4,64,10.8,88,0
Mikel Merino,Spagna,CEN,29,28,6,8,4.8,36,78,52,4.6,67,10.8,89,0
Mikel Oyarzabal,Spagna,ATT,28,28,14,8,11.2,68,82,36,5.2,58,9.8,84,0
Dani Olmo,Spagna,ALA,27,30,12,10,9.6,62,84,56,7.2,61,10.6,88,0
Nico Williams,Spagna,ALA,23,22,6,6,5.0,40,94,48,8.4,60,10.8,84,0
Yeremy Pino,Spagna,ALA,23,28,8,6,6.4,44,88,42,6.8,58,10.6,84,0
Ferran Torres,Spagna,ALA,25,30,12,8,9.6,62,86,42,6.6,59,10.6,84,0
Borja Iglesias,Spagna,ATT,32,26,10,4,8.2,52,76,24,3.4,54,9.4,80,0
Victor Munoz,Spagna,ATT,24,24,8,4,6.4,42,78,26,3.6,53,9.6,79,0
Lamine Yamal,Spagna,ALA,18,28,14,16,11.2,82,94,72,9.2,64,10.8,87,0
