Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Sergio Rochet,Uruguay,POR,30,28,0,0,0.0,0,65,4,0.0,58,5.2,84,68
Fernando Muslera,Uruguay,POR,39,14,0,0,0.0,0,60,4,0.0,54,5.0,83,36
Santiago Mele,Uruguay,POR,26,12,0,0,0.0,0,63,3,0.0,54,5.1,82,28
Guillermo Varela,Uruguay,DIF,33,28,1,3,0.8,7,76,14,0.9,65,10.0,83,0
Ronald Araujo,Uruguay,DIF,26,26,2,1,0.9,7,76,14,0.9,74,9.8,87,0
Jose Maria Gimenez,Uruguay,DIF,31,22,1,1,0.7,6,72,12,0.8,74,9.4,87,0
Santiago Bueno,Uruguay,DIF,27,22,1,1,0.6,5,72,12,0.7,68,9.4,84,0
Sebastian Caceres,Uruguay,DIF,28,26,1,1,0.6,5,72,12,0.7,68,9.4,84,0
Mathias Olivera,Uruguay,DIF,28,28,1,3,0.8,7,82,18,1.2,65,10.4,85,0
Joaquin Piquerez,Uruguay,DIF,27,22,0,2,0.5,5,80,14,0.9,63,10.2,84,0
Matias Vina,Uruguay,DIF,28,20,0,2,0.5,5,78,14,0.9,62,10.0,83,0
Manuel Ugarte,Uruguay,CEN,25,28,1,1,0.8,8,78,48,3.8,70,11.0,88,0
Emiliano Martinez,Uruguay,CEN,26,22,2,3,1.6,14,78,40,3.4,62,10.6,84,0
Rodrigo Bentancur,Uruguay,CEN,29,18,1,2,1.2,10,78,44,3.8,68,10.6,87,0
Federico Valverde,Uruguay,CEN,27,28,6,10,5.0,38,84,52,5.6,68,11.2,88,0
Agustin Canobbio,Uruguay,ALA,27,22,3,3,2.4,18,84,32,4.8,57,10.4,81,0
Juan Manuel Sanabria,Uruguay,CEN,26,18,2,2,1.6,12,76,34,3.0,58,10.2,82,0
Giorgian De Arrascaeta,Uruguay,CEN,31,22,4,4,3.2,24,78,42,4.4,60,10.4,84,0
Nicolas De La Cruz,Uruguay,CEN,28,24,4,5,3.2,24,80,46,5.2,62,10.6,85,0
Rodrigo Zalazar,Uruguay,CEN,27,22,3,3,2.4,18,76,38,3.2,60,10.4,83,0
Facundo Pellistri,Uruguay,ALA,24,22,3,4,2.4,20,88,34,5.6,57,10.4,82,0
Maximiliano Araujo,Uruguay,ALA,26,28,3,6,2.4,20,86,30,5.2,58,10.4,82,0
Brian Rodriguez,Uruguay,ALA,26,22,3,3,2.4,18,86,28,4.8,55,10.2,80,0
Rodrigo Aguirre,Uruguay,ATT,28,22,5,2,4.0,28,80,22,3.4,53,9.6,78,0
Federico Vinas,Uruguay,ATT,27,16,3,1,2.4,16,76,18,3.0,52,9.4,78,0
Darwin Nunez,Uruguay,ATT,26,28,13,4,10.4,64,88,24,3.8,56,9.4,79,0
