Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Mike Maignan,Francia,POR,30,44,0,0,0.0,0,68,6,0.0,62,5.4,89,91
Robin Risser,Francia,POR,21,22,0,0,0.0,0,63,3,0.0,57,5.2,84,58
Brice Samba,Francia,POR,31,36,0,0,0.0,0,65,5,0.0,60,5.3,86,74
Lucas Digne,Francia,DIF,32,30,1,5,0.9,8,74,20,1.4,64,10.2,83,0
Malo Gusto,Francia,DIF,22,31,3,6,1.4,11,82,24,1.6,66,10.6,85,0
Lucas Hernández,Francia,DIF,29,18,0,1,0.5,4,76,12,0.8,66,9.8,84,0
Théo Hernández,Francia,DIF,27,38,4,9,2.2,16,85,28,2.0,67,10.8,84,0
Ibrahima Konaté,Francia,DIF,26,32,2,0,0.9,7,75,12,0.9,73,9.6,86,0
Jules Koundé,Francia,DIF,26,34,2,4,1.1,10,77,20,1.5,70,10.4,87,0
Maxence Lacroix,Francia,DIF,25,34,3,2,1.3,9,74,15,1.1,72,9.7,85,0
William Saliba,Francia,DIF,24,36,2,1,0.9,7,74,16,1.2,73,9.5,88,0
Dayot Upamecano,Francia,DIF,27,28,1,1,0.7,6,73,12,0.9,71,9.4,85,0
N'Golo Kanté,Francia,CEN,34,30,2,4,1.4,14,74,44,3.2,70,10.4,87,0
Manu Koné,Francia,CEN,23,34,5,6,3.2,24,80,48,4.0,67,11.2,86,0
Adrien Rabiot,Francia,CEN,30,38,8,9,5.2,34,74,50,4.0,66,10.6,85,0
Aurélien Tchouaméni,Francia,CEN,25,34,3,2,2.0,16,75,42,3.6,71,10.8,87,0
Warren Zaïre-Emery,Francia,CEN,19,34,5,7,3.4,26,82,48,3.8,65,11.0,87,0
Maghnes Akliouche,Francia,ALA,23,36,12,12,9.0,52,86,58,6.8,60,10.8,83,0
Bradley Barcola,Francia,ALA,22,34,14,10,10.2,74,92,39,5.8,58,10.6,83,0
Rayan Cherki,Francia,ALA,21,30,8,11,6.2,45,86,56,7.0,60,10.4,85,0
Ousmane Dembélé,Francia,ALA,28,29,21,6,15.8,97,95,51,8.4,57,10.7,82,0
Désiré Doué,Francia,ALA,20,38,13,15,9.8,58,88,68,7.6,59,10.9,84,0
Jean-Philippe Mateta,Francia,ATT,28,36,16,6,12.4,70,78,34,4.0,53,9.6,79,0
Kylian Mbappé,Francia,ATT,26,28,24,4,18.9,129,97,41,7.2,59,8.3,83,0
Michael Olise,Francia,ALA,23,38,23,12,17.4,98,88,56,7.6,61,10.5,84,0
Marcus Thuram,Francia,ATT,27,46,18,9,14.2,72,84,44,5.8,56,9.8,82,0
