Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Orjan Nyland,Norvegia,POR,35,28,0,0,0.0,0,64,4,0.0,57,5.1,84,68
Egil Selvik,Norvegia,POR,28,18,0,0,0.0,0,63,3,0.0,55,5.0,82,44
Sindre Tangvik,Norvegia,POR,24,12,0,0,0.0,0,62,3,0.0,53,5.0,80,28
Kristoffer Ajer,Norvegia,DIF,27,30,3,2,1.4,10,76,16,1.0,72,9.8,86,0
Fredrik Bjorkan,Norvegia,DIF,27,28,1,4,0.8,8,80,18,1.2,63,10.4,84,0
Henrik Falchener,Norvegia,DIF,22,20,0,2,0.5,5,74,12,0.7,62,9.6,82,0
Torbjorn Heggem,Norvegia,DIF,27,28,2,5,1.2,10,82,20,1.4,64,10.6,84,0
Sondre Langas,Norvegia,DIF,25,22,1,3,0.8,7,80,16,1.0,63,10.2,83,0
Leo Ostigard,Norvegia,DIF,26,30,2,1,0.9,7,74,14,0.9,70,9.6,85,0
Marcus Pedersen,Norvegia,DIF,25,28,2,5,1.2,10,82,22,1.4,64,10.6,84,0
Julian Ryerson,Norvegia,DIF,28,30,2,8,1.4,12,82,20,1.4,65,10.6,85,0
David Moller Wolfe,Norvegia,DIF,23,22,1,3,0.8,7,78,16,1.0,62,10.2,83,0
Thelo Aasgaard,Norvegia,CEN,22,24,4,2,3.2,22,82,42,3.8,62,10.8,84,0
Fredrik Aursnes,Norvegia,CEN,30,28,3,4,2.4,18,76,44,3.6,64,10.6,86,0
Patrick Berg,Norvegia,CEN,28,26,2,3,1.6,12,74,42,3.2,64,10.4,85,0
Sander Berge,Norvegia,CEN,28,28,4,5,3.2,22,76,46,3.8,66,10.6,86,0
Martin Odegaard,Norvegia,CEN,27,28,4,14,3.6,30,80,68,6.2,66,10.8,90,0
Morten Thorsby,Norvegia,CEN,29,24,2,3,1.6,12,74,40,3.0,63,10.4,84,0
Kristian Thorstvedt,Norvegia,CEN,27,26,3,4,2.4,18,76,42,3.2,63,10.4,84,0
Oscar Bobb,Norvegia,ALA,22,28,8,6,6.4,44,88,46,6.8,59,10.8,83,0
Jens Petter Hauge,Norvegia,ALA,26,28,8,6,6.4,44,86,40,5.8,58,10.6,82,0
Antonio Nusa,Norvegia,ALA,20,28,6,8,5.0,36,92,48,7.8,60,10.8,83,0
Andreas Schjelderup,Norvegia,ALA,21,26,6,5,4.8,32,88,42,6.4,57,10.6,83,0
Alexander Sorloth,Norvegia,ATT,30,30,12,5,9.6,62,82,32,4.2,57,9.8,80,0
Jorgen Strand Larsen,Norvegia,ATT,26,30,10,4,8.2,54,80,28,3.8,55,9.8,80,0
Erling Haaland,Norvegia,ATT,25,28,38,6,32.0,148,88,24,3.6,58,9.2,80,0
