Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Edouard Mendy,Senegal,POR,34,28,0,0,0.0,0,64,4,0.0,58,5.2,84,68
Mory Diaw,Senegal,POR,30,18,0,0,0.0,0,63,3,0.0,55,5.1,82,44
Yehvann Diouf,Senegal,POR,26,22,0,0,0.0,0,64,3,0.0,56,5.1,83,52
Ismail Jakobs,Senegal,DIF,26,26,1,4,0.8,8,82,20,1.4,63,10.6,83,0
El Hadj Malick Diouf,Senegal,DIF,23,28,2,5,1.2,10,82,22,1.6,64,10.6,84,0
Krepin Diatta,Senegal,DIF,26,28,3,5,2.0,16,84,24,1.8,65,10.8,83,0
Antoine Mendy,Senegal,DIF,26,26,1,3,0.8,8,80,18,1.2,63,10.4,83,0
Kalidou Koulibaly,Senegal,DIF,35,24,2,1,0.9,7,74,14,0.9,74,9.4,87,0
Abdoulaye Seck,Senegal,DIF,33,22,2,1,0.9,7,72,12,0.8,70,9.4,84,0
Moussa Niakhate,Senegal,DIF,29,28,2,1,1.0,8,74,14,0.9,72,9.6,85,0
Moustapha Mbow,Senegal,DIF,24,20,1,2,0.7,6,78,14,0.9,62,10.0,82,0
Ilay Camara,Senegal,DIF,22,18,0,2,0.5,5,76,12,0.7,60,9.8,81,0
Mamadou Sarr,Senegal,DIF,20,18,0,1,0.4,4,78,12,0.7,60,10.0,82,0
Habib Diarra,Senegal,CEN,22,22,2,3,1.6,14,82,38,3.4,62,10.8,83,0
Pape Matar Sarr,Senegal,CEN,23,28,4,5,3.2,22,80,46,4.0,64,10.8,85,0
Pathe Ciss,Senegal,CEN,31,24,2,3,1.6,12,74,40,3.0,64,10.4,84,0
Pape Gueye,Senegal,CEN,26,26,4,5,3.2,22,76,42,3.4,64,10.6,84,0
Lamine Camara,Senegal,CEN,22,28,5,6,4.0,28,80,44,4.0,62,10.8,84,0
Bara Sapoko Ndiaye,Senegal,CEN,18,14,2,2,1.6,12,82,28,2.8,56,10.4,82,0
Sadio Mane,Senegal,ATT,34,28,10,5,8.2,54,84,34,5.2,57,9.6,82,0
Ismaila Sarr,Senegal,ALA,27,30,12,8,9.6,62,90,44,6.8,58,10.6,82,0
Ibraim Mbaye,Senegal,ALA,20,18,4,4,3.2,22,86,28,4.4,54,10.4,81,0
Assane Diao,Senegal,ALA,21,26,8,6,6.4,42,86,36,5.4,56,10.6,82,0
Iliman Ndiaye,Senegal,ALA,25,28,10,7,8.0,52,84,44,6.4,58,10.6,82,0
Cherif Ndiaye,Senegal,ATT,27,22,8,3,6.4,42,78,24,3.4,53,9.6,78,0
Bamba Dieng,Senegal,ATT,25,22,7,3,5.6,38,80,24,3.4,52,9.6,78,0
Nicolas Jackson,Senegal,ATT,24,28,14,6,11.2,68,86,32,4.4,56,9.8,80,0
