Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Luca Zidane,Algeria,POR,28,22,0,0,0.0,0,63,4,0.0,56,5.1,82,52
Oussama Benbot,Algeria,POR,28,18,0,0,0.0,0,62,3,0.0,54,5.0,80,44
Melvin Mastil,Algeria,POR,26,12,0,0,0.0,0,62,3,0.0,53,5.0,79,28
Abdelatif Ramdane,Algeria,POR,27,10,0,0,0.0,0,61,3,0.0,52,5.0,78,22
Rafik Belghali,Algeria,DIF,23,22,0,2,0.5,5,76,14,0.8,62,10.0,83,0
Samir Chergui,Algeria,DIF,27,20,1,1,0.6,5,74,12,0.7,63,9.8,82,0
Rayan Ait-Nouri,Algeria,DIF,24,28,2,6,1.4,12,86,22,1.8,65,10.8,86,0
Jaouen Hadjam,Algeria,DIF,24,22,1,3,0.8,7,80,16,1.0,63,10.2,83,0
Aissa Mandi,Algeria,DIF,35,22,1,1,0.6,5,72,12,0.7,70,9.4,85,0
Ramy Bensebaini,Algeria,DIF,31,26,2,3,1.0,8,78,16,1.0,68,10.2,85,0
Zineddine Belaid,Algeria,DIF,27,20,0,1,0.4,4,72,12,0.7,62,9.6,82,0
Achref Abada,Algeria,DIF,24,18,0,2,0.5,5,74,12,0.7,61,9.8,82,0
Mohamed Amine Tougai,Algeria,DIF,24,20,1,1,0.6,5,74,12,0.7,63,9.8,83,0
Nabil Bentaleb,Algeria,CEN,32,18,2,3,1.6,12,72,42,3.2,64,10.2,86,0
Hicham Boudaoui,Algeria,CEN,26,26,4,4,3.2,22,80,44,3.8,63,10.6,85,0
Houssem Aouar,Algeria,CEN,27,24,4,5,3.2,24,78,46,4.2,63,10.4,85,0
Fares Chaibi,Algeria,CEN,23,26,5,6,4.0,28,80,48,4.4,64,10.8,86,0
Ibrahim Maza,Algeria,CEN,20,22,4,5,3.2,24,82,42,4.0,61,10.8,85,0
Yacine Titraoui,Algeria,CEN,22,22,3,4,2.4,18,78,38,3.2,60,10.4,83,0
Ramiz Zerrouki,Algeria,CEN,27,24,3,4,2.4,18,76,44,3.4,63,10.6,85,0
Mohamed Amine Amoura,Algeria,ATT,26,42,19,6,15.2,88,90,34,6.2,57,10.0,81,0
Nadhir Benbouali,Algeria,ALA,26,22,6,4,5.0,34,84,32,5.0,55,10.4,80,0
Abil Boulbina,Algeria,ATT,22,18,5,2,4.0,28,80,22,3.4,52,9.6,78,0
Fares Ghedjemis,Algeria,ALA,23,20,5,4,4.0,28,84,30,4.6,54,10.4,80,0
Amine Gouiri,Algeria,ALA,26,26,8,5,6.4,44,84,38,5.8,57,10.4,82,0
Anis Hadj Moussa,Algeria,ALA,24,24,7,6,5.6,38,86,42,6.4,57,10.6,82,0
Riyad Mahrez,Algeria,ALA,35,28,10,8,8.0,54,84,48,7.2,58,10.2,84,0
