Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Diogo Costa,Portogallo,POR,26,36,0,0,0.0,0,66,4,0.0,60,5.3,86,82
José Sà,Portogallo,POR,32,24,0,0,0.0,0,65,4,0.0,58,5.2,85,64
Rui Silva,Portogallo,POR,31,28,0,0,0.0,0,64,4,0.0,57,5.1,84,68
Ricardo Velho,Portogallo,POR,24,18,0,0,0.0,0,63,3,0.0,55,5.0,82,44
Diogo Dalot,Portogallo,DIF,26,34,3,7,1.8,14,84,24,1.8,66,10.8,86,0
Matheus Nunes,Portogallo,DIF,27,30,3,6,1.6,14,82,20,1.6,65,10.6,85,0
Nelson Semedo,Portogallo,DIF,31,28,1,4,0.8,8,80,18,1.2,64,10.4,84,0
Joao Cancelo,Portogallo,DIF,32,34,4,8,2.2,16,82,26,1.8,66,10.8,87,0
Nuno Mendes,Portogallo,DIF,23,36,2,6,1.4,12,84,22,1.6,66,10.8,86,0
Gonçalo Inacio,Portogallo,DIF,24,32,3,2,1.4,10,76,16,1.0,72,9.8,87,0
Renato Veiga,Portogallo,DIF,22,28,2,2,1.0,8,76,14,0.9,70,9.8,85,0
Ruben Dias,Portogallo,DIF,28,30,2,1,0.9,7,74,14,0.9,74,9.6,88,0
Tomas Araujo,Portogallo,DIF,24,28,2,1,0.9,7,74,14,0.8,70,9.6,86,0
Ruben Neves,Portogallo,CEN,29,28,4,7,3.2,24,74,44,3.6,68,10.4,88,0
Samuel Costa,Portogallo,CEN,27,28,3,5,2.4,20,74,42,3.2,65,10.4,86,0
Joao Neves,Portogallo,CEN,21,34,5,8,4.0,28,78,50,4.4,64,10.8,88,0
Vitinha,Portogallo,CEN,25,34,6,10,5.0,34,78,52,4.6,65,10.8,89,0
Bruno Fernandes,Portogallo,CEN,31,34,8,20,6.1,84,78,137,5.2,66,10.6,82,0
Bernardo Silva,Portogallo,CEN,31,30,7,9,5.8,46,80,58,5.6,67,10.8,90,0
Joao Felix,Portogallo,ATT,26,28,8,4,7.2,48,86,36,6.0,58,10.0,82,0
Trincao,Portogallo,ALA,25,30,10,8,8.2,52,88,42,6.4,57,10.4,82,0
Francisco Conceicao,Portogallo,ALA,23,32,12,8,9.6,62,88,44,6.8,58,10.6,83,0
Pedro Neto,Portogallo,ALA,26,28,8,7,6.4,46,90,44,6.8,58,10.6,82,0
Rafael Leao,Portogallo,ALA,27,27,9,3,5.4,60,92,33,5.8,57,10.4,83,0
Gonçalo Guedes,Portogallo,ALA,29,28,8,6,6.4,44,86,38,5.8,56,10.2,82,0
Gonçalo Ramos,Portogallo,ATT,24,32,16,8,13.2,78,82,36,4.6,56,9.8,82,0
Cristiano Ronaldo,Portogallo,ATT,41,30,26,2,21.0,129,82,24,3.2,55,8.2,80,0
