Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Timothy Fayulu,Rep. del Congo,POR,36,42,0,0,0.0,0,62,4,0.0,56,5.1,81,78
Lionel Mpasi,Rep. del Congo,POR,26,22,0,0,0.0,0,64,3,0.0,57,5.2,82,52
Mattieu Epolo,Rep. del Congo,POR,22,18,0,0,0.0,0,63,3,0.0,55,5.1,80,42
Aaron Wan-Bissaka,Rep. del Congo,DIF,28,28,0,3,0.6,6,80,20,1.4,64,10.4,84,0
Gedeon Kalulu,Rep. del Congo,DIF,26,20,1,1,0.6,5,74,12,0.7,66,9.6,82,0
Chancel Mbemba,Rep. del Congo,DIF,31,30,2,1,0.9,7,74,14,0.8,72,9.6,84,0
Steve Kapuadi,Rep. del Congo,DIF,27,22,1,1,0.6,5,72,12,0.7,64,9.4,81,0
Axel Tuanzebe,Rep. del Congo,DIF,27,22,2,1,0.8,6,74,12,0.7,68,9.6,83,0
Dylan Batubinsika,Rep. del Congo,DIF,26,22,1,1,0.6,5,72,12,0.7,64,9.4,81,0
Rocky Bushiri,Rep. del Congo,DIF,25,26,1,1,0.7,6,74,12,0.8,66,9.6,82,0
Arthur Masuaku,Rep. del Congo,DIF,31,28,2,5,1.2,10,78,20,1.4,64,10.4,83,0
Joris Kayembe,Rep. del Congo,DIF,26,24,1,3,0.8,7,78,16,1.0,63,10.2,82,0
Samuel Moutoussamy,Rep. del Congo,CEN,30,24,3,4,2.4,18,74,38,3.0,62,10.2,82,0
Ngal'Ayel Mukau,Rep. del Congo,CEN,21,24,4,5,3.2,22,80,38,3.4,60,10.6,83,0
Gael Kakuta,Rep. del Congo,CEN,34,24,3,4,2.4,18,74,36,3.0,58,10.0,81,0
Charles Pickel,Rep. del Congo,CEN,29,26,3,4,2.4,18,76,40,3.2,63,10.4,83,0
Noah Sadiki,Rep. del Congo,CEN,22,22,2,3,1.8,14,78,36,2.8,61,10.4,83,0
Edo Kayembe,Rep. del Congo,CEN,29,28,4,5,3.2,22,76,40,3.2,62,10.4,82,0
Theo Bongonda,Rep. del Congo,ALA,30,24,5,5,4.0,28,84,34,4.6,56,10.4,80,0
Nathanael Mbuku,Rep. del Congo,ALA,23,22,5,5,4.0,28,84,34,4.8,55,10.4,80,0
Brian Cipenga,Rep. del Congo,ALA,25,20,4,3,3.2,22,82,28,3.8,54,10.2,79,0
Yoane Wissa,Rep. del Congo,ATT,29,18,1,1,1.6,14,88,22,3.2,55,9.8,79,0
Meschack Elia,Rep. del Congo,ALA,25,22,6,4,5.0,34,86,30,4.4,55,10.4,80,0
Cedric Bakambu,Rep. del Congo,ATT,34,26,8,3,6.4,42,76,24,3.2,53,9.4,78,0
Simon Banza,Rep. del Congo,ATT,28,24,9,4,7.2,48,80,26,3.4,53,9.6,78,0
Fiston Mayele,Rep. del Congo,ATT,29,24,8,4,6.4,44,78,24,3.2,52,9.4,77,0
