Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Yusupov,Uzbekistan,Portiere,32,18,0,0,0.1,1,71,1,1,10,9.4,64,48
Nematov,Uzbekistan,Portiere,28,24,0,0,0.1,1,73,1,1,12,9.6,66,62
Ergashev,Uzbekistan,Portiere,26,14,0,0,0.1,1,72,1,1,9,9.5,65,38
Khusanov,Uzbekistan,Difensore,22,17,1,1,0.2,6,86,1.2,1.6,48,11.3,88,
Alijonov,Uzbekistan,Difensore,26,26,1,2,0.2,12,83,1.3,1.7,40,11.0,82,
Sayfiev,Uzbekistan,Difensore,27,28,1,3,0.3,14,82,1.5,1.8,42,10.9,82,
Ashurmatov,Uzbekistan,Difensore,27,26,1,2,0.2,11,80,1.1,1.4,40,10.7,81,
Nasrullaev,Uzbekistan,Difensore,24,22,1,2,0.2,10,81,1.2,1.5,36,10.8,80,
Eshmurodov,Uzbekistan,Difensore,25,24,1,2,0.2,11,81,1.1,1.5,38,10.8,80,
Abdullaev,Uzbekistan,Difensore,26,24,1,2,0.2,12,80,1.2,1.5,38,10.7,81,
Karimov,Uzbekistan,Difensore,25,22,1,1,0.2,10,80,1.0,1.3,36,10.7,80,
Ulmasaliev,Uzbekistan,Difensore,24,20,1,1,0.2,9,82,1.1,1.5,34,10.8,79,
Urozov,Uzbekistan,Difensore,23,18,1,1,0.2,8,82,1.0,1.4,32,10.7,79,
Mozgovoy,Uzbekistan,Centrocampista,28,26,3,4,0.5,26,81,2.4,2.6,48,11.0,83,
Shukurov,Uzbekistan,Centrocampista,31,26,2,3,0.4,20,79,2.2,1.8,58,10.9,85,
Iskanderov,Uzbekistan,Centrocampista,30,26,3,4,0.5,24,80,2.6,2.4,52,10.9,84,
Hamrobekov,Uzbekistan,Centrocampista,29,26,2,3,0.4,18,79,2.0,1.8,56,10.8,84,
Masharipov,Uzbekistan,Centrocampista,31,22,4,6,0.7,34,82,3.4,3.2,44,11.0,81,
Urunov,Uzbekistan,Centrocampista,27,26,5,4,0.7,36,83,2.8,3.0,48,11.1,80,
Khamdamov,Uzbekistan,Centrocampista,25,22,3,4,0.5,26,82,2.8,3.2,40,11.0,80,
Ganiev,Uzbekistan,Centrocampista,26,24,3,4,0.5,28,82,2.6,3.0,42,11.0,81,
Fayzullaev,Uzbekistan,Centrocampista,22,20,3,3,0.6,28,87,3.6,4.8,38,11.4,80,
Esanov,Uzbekistan,Centrocampista,24,22,2,3,0.4,22,82,2.4,2.8,38,10.9,79,
Shomurodov,Uzbekistan,Attaccante,30,34,22,5,2.0,95,84,2.4,3.0,46,11.0,77,
Amonov,Uzbekistan,Attaccante,25,26,8,4,0.9,54,83,2.0,3.4,40,11.0,75,
Sergeev,Uzbekistan,Attaccante,26,24,6,4,0.8,46,82,2.0,3.2,38,10.9,74,
