Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Asare,Ghana,Portiere,27,22,0,0,0.1,1,72,1,1,11,9.5,65,58
Ati-Zigi,Ghana,Portiere,30,28,0,0,0.1,1,71,1,1,13,9.6,66,72
Anang,Ghana,Portiere,26,14,0,0,0.1,1,70,1,1,9,9.4,64,38
Baba Abdul Rahman,Ghana,Difensore,31,24,1,3,0.3,14,84,1.6,2.2,40,11.2,81,
Mensah,Ghana,Difensore,28,26,1,2,0.2,12,83,1.3,1.8,42,11.0,82,
Senaya,Ghana,Difensore,24,22,1,2,0.2,10,82,1.2,1.7,36,10.9,80,
Seidu,Ghana,Difensore,25,28,1,3,0.3,14,87,1.4,2.4,44,11.3,82,
Mumin,Ghana,Difensore,27,26,2,1,0.3,14,81,1.1,1.4,44,10.9,83,
Opoku,Ghana,Difensore,26,24,1,1,0.2,10,80,1.0,1.3,40,10.8,82,
Adjetey,Ghana,Difensore,26,24,1,2,0.2,12,82,1.3,1.7,38,10.9,80,
Oppong Peprah,Ghana,Difensore,24,22,1,2,0.2,10,81,1.2,1.6,36,10.8,79,
Luckassen,Ghana,Difensore,30,22,1,1,0.2,10,79,1.0,1.1,40,10.6,82,
Owusu,Ghana,Centrocampista,29,20,2,3,0.4,18,80,2.2,2.0,52,10.8,83,
Thomas Partey,Ghana,Centrocampista,33,22,1,2,0.3,14,80,2.0,1.6,60,10.8,84,
Sibo,Ghana,Centrocampista,28,28,4,5,0.6,32,81,2.6,2.4,48,10.9,82,
Boakye,Ghana,Centrocampista,24,22,3,4,0.5,26,83,2.6,3.0,40,11.1,79,
Yirenkyi,Ghana,Centrocampista,21,24,3,4,0.5,28,85,2.8,3.4,38,11.2,80,
Fatawu Issahaku,Ghana,Centrocampista,22,38,7,7,1.0,62,88,3.4,5.2,44,11.4,78,
K. Sulemana,Ghana,Centrocampista,23,26,5,6,0.8,46,89,3.2,5.6,42,11.5,77,
Bonsu Baah,Ghana,Attaccante,24,30,8,5,1.0,58,87,2.6,4.4,44,11.3,76,
Nuamah,Ghana,Attaccante,22,28,7,4,0.9,52,88,2.4,4.8,40,11.4,75,
Semenyo,Ghana,Attaccante,26,36,17,4,1.6,98,90,3.0,5.4,52,11.8,78,
Thomas-Asante,Ghana,Attaccante,27,38,12,6,1.2,76,84,2.4,3.8,50,11.2,77,
Adu,Ghana,Attaccante,22,24,7,4,0.9,50,85,2.2,4.0,38,11.1,75,
Inaki Williams,Ghana,Attaccante,31,30,3,6,0.9,57,86,3.0,4.2,48,11.3,77,
Jordan Ayew,Ghana,Attaccante,34,22,5,3,0.8,41,82,2.0,2.4,42,10.8,77,
