Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Jordan Pickford,Inghilterra,POR,32,28,0,0,0.0,0,65,4,0.0,58,5.2,85,74
Dean Henderson,Inghilterra,POR,29,28,0,0,0.0,0,65,4,0.0,57,5.2,84,68
James Trafford,Inghilterra,POR,23,22,0,0,0.0,0,64,3,0.0,55,5.1,83,54
Reece James,Inghilterra,DIF,26,28,2,6,1.4,12,82,22,1.6,65,10.6,85,0
Tino Livramento,Inghilterra,DIF,22,26,1,4,0.8,8,84,18,1.2,63,10.6,84,0
Marc Guehi,Inghilterra,DIF,25,30,2,1,0.9,7,74,14,0.9,72,9.6,88,0
Ezri Konsa,Inghilterra,DIF,28,28,2,1,0.9,7,74,14,0.9,70,9.6,86,0
John Stones,Inghilterra,DIF,31,22,1,2,0.7,6,74,14,0.9,72,9.6,88,0
Jarell Quansah,Inghilterra,DIF,22,24,1,1,0.7,6,74,12,0.8,68,9.6,85,0
Nico O'Reilly,Inghilterra,DIF,21,24,1,3,0.8,7,80,16,1.0,63,10.4,85,0
Dan Burn,Inghilterra,DIF,33,28,2,2,1.0,8,72,14,0.8,68,9.6,85,0
Djed Spence,Inghilterra,DIF,25,22,1,3,0.8,7,82,16,1.0,62,10.4,83,0
Declan Rice,Inghilterra,CEN,27,28,4,8,3.2,28,76,56,4.6,68,11.0,90,0
Elliot Anderson,Inghilterra,CEN,23,28,5,6,4.0,28,80,48,4.0,65,10.8,86,0
Jude Bellingham,Inghilterra,CEN,22,28,8,6,6.4,48,84,56,6.2,66,10.8,87,0
Jordan Henderson,Inghilterra,CEN,35,22,2,3,1.6,12,72,40,3.0,63,10.2,85,0
Morgan Rogers,Inghilterra,CEN,23,28,13,11,10.4,62,84,58,6.4,65,10.8,85,0
Kobbie Mainoo,Inghilterra,CEN,20,26,4,5,3.2,22,78,44,3.8,63,10.8,86,0
Harry Kane,Inghilterra,ATT,32,34,28,8,24.4,128,78,32,4.2,58,9.2,82,0
Ivan Toney,Inghilterra,ATT,30,24,10,3,8.2,52,76,24,3.2,54,9.4,79,0
Ollie Watkins,Inghilterra,ATT,30,30,14,7,11.4,68,84,28,3.8,56,9.6,80,0
Bukayo Saka,Inghilterra,ALA,24,28,14,12,11.2,72,88,58,7.4,60,10.6,86,0
Noni Madueke,Inghilterra,ALA,23,26,8,6,6.4,46,88,44,6.8,57,10.6,83,0
Marcus Rashford,Inghilterra,ALA,28,34,14,11,11.2,72,88,46,6.6,58,10.6,83,0
Anthony Gordon,Inghilterra,ALA,24,32,14,8,11.2,68,88,44,6.8,58,10.6,83,0
Eberechi Eze,Inghilterra,ALA,27,28,10,7,8.0,56,86,50,6.8,59,10.6,84,0
