Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,DistanzaPercorsa,PassAccuracy,Parate
Orlando Mosquera,Panama,POR,34,22,0,0,0.0,0,62,4,0.0,55,5.1,81,52
Luis Mejia,Panama,POR,32,18,0,0,0.0,0,63,3,0.0,55,5.1,81,44
Cesar Samudio,Panama,POR,28,12,0,0,0.0,0,62,3,0.0,53,5.0,79,28
Cesar Blackman,Panama,DIF,29,22,1,2,0.7,6,76,14,0.9,62,10.0,82,0
Jorge Gutierrez,Panama,DIF,27,20,0,1,0.4,4,74,12,0.7,62,9.8,81,0
Amir Murillo,Panama,DIF,30,28,1,5,0.8,8,80,20,1.4,65,10.4,83,0
Fidel Escobar,Panama,DIF,30,28,2,2,1.0,8,72,14,0.8,72,9.6,84,0
Andres Andrade,Panama,DIF,30,26,1,2,0.7,6,72,14,0.8,68,9.6,83,0
Edgardo Farina,Panama,DIF,30,22,1,1,0.6,5,72,12,0.7,63,9.4,81,0
Jose Cordoba,Panama,DIF,27,24,1,1,0.7,6,74,12,0.8,64,9.6,82,0
Eric Davis,Panama,DIF,31,28,3,4,1.8,16,78,24,1.4,68,10.4,83,0
Jiovany Ramos,Panama,DIF,26,18,0,1,0.4,4,74,12,0.7,60,9.6,81,0
Roderick Miller,Panama,DIF,34,20,1,1,0.6,5,70,12,0.6,64,9.4,82,0
Anibal Godoy,Panama,CEN,37,28,1,2,0.8,8,70,42,3.0,68,10.2,84,0
Adalberto Carrasquilla,Panama,CEN,27,28,4,5,3.2,24,78,50,4.8,68,10.6,84,0
Carlos Harvey,Panama,CEN,28,24,2,3,1.6,12,76,36,2.8,62,10.4,82,0
Cristian Martinez,Panama,CEN,28,24,2,3,1.8,14,74,38,2.8,60,10.2,81,0
Jose Luis Rodriguez,Panama,CEN,28,26,4,4,3.0,22,78,38,3.4,61,10.4,82,0
Cesar Yanis,Panama,CEN,28,22,2,3,1.6,12,74,34,2.6,59,10.0,80,0
Yoel Barcenas,Panama,ALA,30,22,3,3,2.4,18,80,30,3.8,56,10.2,80,0
Alberto Quintero,Panama,CEN,36,18,1,2,0.8,8,70,28,2.2,58,9.8,79,0
Azarias Londono,Panama,CEN,24,18,2,3,1.6,12,76,32,2.8,57,10.2,81,0
Ismael Diaz,Panama,ALA,26,22,5,3,4.0,28,84,32,4.6,56,10.4,81,0
Cecilio Waterman,Panama,ATT,30,22,5,2,4.0,28,78,22,3.0,52,9.6,77,0
Jose Fajardo,Panama,ATT,32,26,8,3,6.4,42,76,24,3.2,53,9.4,78,0
Tomas Rodriguez,Panama,ALA,28,24,6,4,5.0,34,82,30,4.2,55,10.2,79,0
