Squadra,Gol,xG,Tiri,Possesso,PrecisionePassaggi,AttackRating,MidfieldRating,DefenseRating,OverallRating
Spagna,2.5,2.3,17,67,91,94.2,95.0,77.0,89.3
Francia,2.0,1.9,14,60,87,84.2,86.0,75.8,82.2
Inghilterra,2.0,1.9,14,59,85,84.2,83.6,74.3,81.0
Brasile,2.5,2.1,16,63,88,91.7,89.3,75.0,86.0
Argentina,2.1,1.9,14,61,86,85.0,86.0,75.8,82.5
Germania,2.6,2.3,17,58,84,95.0,81.9,69.2,83.3
Portogallo,2.0,1.8,13,57,85,82.5,82.0,74.7,80.0
Belgio,2.1,1.9,14,56,83,85.0,79.5,71.9,79.4
Olanda,1.8,1.7,13,57,84,80.0,81.1,74.2,78.6
Norvegia,2.1,2.0,15,53,80,86.7,74.6,67.5,77.3
Uruguay,1.5,1.4,11,52,80,73.3,73.8,72.6,73.2
Colombia,1.7,1.5,12,54,81,76.7,76.2,72.7,75.4
USA,1.5,1.3,11,51,78,72.5,71.3,71.1,71.7
Messico,1.4,1.3,11,54,80,71.7,75.4,73.5,73.4
Marocco,1.7,1.5,11,50,79,75.8,71.3,71.1,73.0
Turchia,1.4,1.3,11,52,78,71.7,72.1,71.6,71.8
Croazia,1.5,1.4,11,54,83,73.3,77.9,75.0,75.2
Giappone,1.3,1.2,10,51,81,69.2,73.8,74.0,72.0
Austria,1.4,1.3,10,53,81,70.8,75.4,74.9,73.4
Canada,1.2,1.1,9,50,77,66.7,69.7,72.9,69.5
Ecuador,1.1,1.0,9,49,76,65.0,68.0,71.9,68.0
Egitto,1.1,1.0,9,47,75,65.0,65.6,70.4,66.8
Algeria,1.4,1.2,10,50,77,70.0,69.7,71.5,70.4
Corea del Sud,1.2,1.1,9,49,77,66.7,68.9,72.4,69.1
Cechia,1.2,1.1,9,51,79,66.7,72.1,74.4,70.6
Scozia,1.2,1.1,9,50,78,66.7,70.5,73.4,69.8
Senegal,1.2,1.1,9,49,75,66.7,67.2,71.4,68.3
Svezia,1.2,1.1,9,51,79,66.7,72.1,74.4,70.6
Bosnia,1.3,1.2,10,50,77,69.2,69.7,71.5,70.0
Paraguay,0.9,0.8,8,47,74,60.9,64.8,71.3,65.2
Costa d'Avorio,1.2,1.0,9,49,75,65.8,67.2,71.4,67.9
Iran,1.1,0.9,8,46,72,63.3,62.3,69.8,64.9
Ghana,1.0,0.9,8,47,73,62.5,63.9,70.8,65.4
Rep. del Congo,0.8,0.7,7,45,71,58.4,60.7,70.2,62.6
Arabia Saudita,0.8,0.7,7,45,70,58.4,59.8,69.7,62.2
Australia,0.9,0.7,7,46,73,59.2,63.1,71.7,64.1
Sudafrica,0.9,0.8,7,46,72,60.0,62.3,71.2,64.0
Qatar,0.7,0.6,6,44,70,55.8,59.0,70.6,61.2
Tunisia,0.7,0.6,6,44,71,55.8,59.9,71.1,61.6
Uzbekistan,0.7,0.6,6,43,70,55.8,58.2,70.2,60.8
Panama,0.7,0.6,6,43,69,55.8,57.4,69.7,60.4
Nuova Zelanda,0.7,0.6,6,42,69,55.8,56.6,69.2,60.1
Capo Verde,0.6,0.5,6,42,68,54.2,55.7,68.7,59.0
Giordania,0.6,0.5,5,41,67,53.3,54.1,69.1,58.3
Iraq,0.5,0.5,5,41,66,52.5,53.3,68.6,57.6
Haiti,0.5,0.4,5,40,65,51.7,51.6,67.6,56.4
Curacao,0.4,0.4,4,39,64,50.0,50.0,68.0,55.4
Svizzera,1.4,1.3,10,53,82,70.8,76.2,75.4,73.8
